core triangles
10 2
10 11
10 4
10 27
10 6
10 1
10 11
10 0
10 0
10 0
10 1
10 8
10 1
10 1
10 0
10 0
10 3
10 0
10 1
10 1
10 2
10 0
10 0
10 0
10 1
10 1
10 0
10 0
10 0
10 0
10 0
10 1
10 1
10 1
10 0
10 0
10 0
10 0
10 8
10 1
10 0
10 1
10 4
10 0
10 0
10 0
10 0
10 0
10 0
10 20
10 0
10 0
10 1
10 1
10 1
10 0
10 0
10 1
10 0
10 1
10 2
10 0
10 0
10 1
10 0
10 0
10 2
10 0
10 0
10 0
10 0
10 0
10 0
10 1
10 2
10 0
10 0
10 3
10 0
10 0
10 0
10 0
10 0
10 1
10 0
10 0
10 21
10 1
10 1
10 1
10 0
10 0
10 1
10 1
10 2
10 0
10 1
10 1
10 0
10 0
10 0
10 0
10 2
10 25
10 22
10 0
10 0
10 7
10 0
10 1
10 2
10 8
10 0
10 0
10 1
10 0
10 0
10 0
10 0
10 0
10 0
10 1
10 11
10 1
10 0
10 18
10 5
10 0
10 0
10 1
10 0
10 1
10 0
10 0
10 1
10 0
10 1
10 2
10 4
10 5
10 33
10 22
10 7
10 29
10 1
10 0
10 0
10 1
10 0
10 0
10 1
10 1
10 2
10 1
10 0
10 0
10 2
10 0
10 2
10 0
10 0
10 0
10 0
10 0
10 2
10 0
10 0
10 1
10 0
10 9
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 1
10 0
10 0
10 0
10 0
10 0
10 1
10 0
10 0
10 1
10 0
10 0
10 0
10 0
10 0
10 0
10 1
10 1
10 0
10 1
10 0
10 0
10 0
10 2
10 0
10 0
10 2
10 2
10 0
10 1
10 0
10 2
10 0
10 0
10 1
10 0
10 1
10 0
10 1
10 5
10 3
10 32
10 2
10 0
10 9
10 0
10 0
10 19
10 20
10 0
10 0
10 1
10 1
10 1
10 0
10 0
10 0
10 0
10 0
10 1
10 0
10 0
10 1
10 2
10 4
10 0
10 22
10 0
10 0
10 0
10 0
10 0
10 1
10 0
10 1
10 3
10 1
10 0
10 0
10 0
10 12
10 1
10 0
10 0
10 0
10 6
10 4
10 0
10 0
10 0
9 0
9 0
9 0
9 0
9 0
9 0
9 2
9 0
9 0
9 1
9 0
9 0
9 0
9 0
9 0
9 0
9 0
9 0
9 0
9 0
9 1
9 0
9 1
9 0
9 0
9 0
9 2
9 0
9 0
9 0
9 0
9 1
9 0
9 0
9 2
9 0
9 0
9 0
9 0
9 0
9 1
9 0
9 0
9 0
9 1
9 0
9 2
9 0
9 0
9 2
9 0
9 0
9 0
9 0
9 0
9 0
9 1
9 0
9 0
9 0
9 0
9 0
9 0
9 1
9 0
9 1
9 0
9 1
9 0
9 1
9 0
9 0
9 1
9 0
9 0
9 0
9 0
9 1
9 0
9 1
9 1
9 0
9 0
9 0
9 0
9 0
9 0
9 0
9 0
9 0
9 0
9 0
9 0
9 0
9 2
9 0
9 0
9 1
9 0
9 1
9 1
9 0
9 1
9 0
8 0
8 0
8 0
8 0
8 0
8 0
8 0
8 0
8 0
8 0
8 0
8 2
8 0
8 3
8 0
8 0
8 1
8 0
8 0
8 0
8 0
8 0
8 1
8 1
8 0
8 0
7 0
7 0
7 1
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 1
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 1
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 1
7 0
7 0
7 0
7 2
7 0
7 0
7 0
6 0
6 0
6 1
6 0
6 0
6 0
6 0
6 0
6 0
6 0
6 0
6 0
6 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
