core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48,change_50,change_52,change_54,change_56,change_58,change_60,change_62,change_64,change_66,change_68,change_70,change_72,change_74,change_76,change_78,change_80,change_82,change_84,change_86,change_88
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,357.0,356.80000000000001,356.69999999999999,356.69999999999999,356.69999999999999,356.5,356.19999999999999,116.0,41.399999999999999,24.5,16.300000000000001,11.4,8.4000000000000004,6.7999999999999998,5.0999999999999996,4.5999999999999996,4.2000000000000002,3.5,3.2222222222222223,2.8888888888888888,2.6666666666666665,2.1111111111111112,1.875,1.625,1.5,1.5,1.3999999999999999,1.3999999999999999,1.2,1.2,1.2,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,20.0,19.100000000000001,18.199999999999999,17.800000000000001,17.199999999999999,16.600000000000001,16.0,255.30000000000001,329.0,345.10000000000002,352.39999999999998,356.80000000000001,359.39999999999998,360.69999999999999,361.80000000000001,66.700000000000003,47.399999999999999,34.0,26.699999999999999,20.699999999999999,16.300000000000001,13.5,11.1,9.9000000000000004,9.0,8.1999999999999993,7.7000000000000002,6.5999999999999996,5.9000000000000004,5.5999999999999996,4.5,3.6000000000000001,3.3999999999999999,2.8999999999999999,2.7777777777777777,2.5555555555555554,2.3333333333333335,2.2222222222222223,2.125,2.25,1.75,1.7142857142857142,1.4285714285714286,1.4285714285714286,1.4285714285714286
8,30.0,29.199999999999999,29.199999999999999,28.199999999999999,27.5,27.699999999999999,27.600000000000001,26.899999999999999,27.100000000000001,26.699999999999999,26.399999999999999,25.300000000000001,24.699999999999999,24.199999999999999,23.600000000000001,317.80000000000001,335.80000000000001,349.10000000000002,355.80000000000001,360.69999999999999,363.39999999999998,365.5,228.30000000000001,61.100000000000001,45.799999999999997,36.0,28.600000000000001,24.800000000000001,20.699999999999999,16.5,15.199999999999999,13.5,12.5,11.4,10.199999999999999,9.4000000000000004,8.6999999999999993,7.7999999999999998,7.4000000000000004,6.2999999999999998,5.9000000000000004,5.7999999999999998,5.2999999999999998,4.7999999999999998,4.2999999999999998
9,404.0,405.89999999999998,406.89999999999998,408.30000000000001,409.60000000000002,410.19999999999999,411.19999999999999,412.80000000000001,413.5,414.69999999999999,415.89999999999998,417.5,418.5,419.30000000000001,420.5,421.89999999999998,344.69999999999999,267.10000000000002,152.30000000000001,113.8,74.400000000000006,73.700000000000003,173.0,340.30000000000001,355.19999999999999,364.80000000000001,371.80000000000001,374.30000000000001,377.39999999999998,350.39999999999998,108.3,52.299999999999997,41.700000000000003,34.700000000000003,30.399999999999999,24.100000000000001,21.699999999999999,19.5,16.899999999999999,15.9,14.699999999999999,13.199999999999999,12.0,11.0,9.5
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394.5,393.25,390.42857142857144,391.5,393.88888888888891,396.0,397.10000000000002,398.39999999999998,399.80000000000001,401.10000000000002,402.19999999999999,404.60000000000002,406.39999999999998,437.89999999999998,682.39999999999998,741.0,753.0,761.60000000000002,767.5,774.79999999999995,778.10000000000002,781.29999999999995,784.60000000000002,711.79999999999995,713.20000000000005,486.19999999999999,410.10000000000002,331.89999999999998,100.0
