core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48,change_50,change_52,change_54,change_56,change_58,change_60,change_62,change_64,change_66,change_68,change_70,change_72,change_74,change_76,change_78,change_80,change_82,change_84,change_86,change_88
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,179.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13.0,191.40000000000001,190.90000000000001,190.09999999999999,189.30000000000001,188.30000000000001,188.0,186.30000000000001,175.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,40.0,39.100000000000001,38.399999999999999,37.0,36.600000000000001,35.700000000000003,34.899999999999999,34.600000000000001,201.80000000000001,217.19999999999999,214.30000000000001,211.90000000000001,208.40000000000001,206.30000000000001,203.80000000000001,200.28571428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,26.0,26.399999999999999,26.899999999999999,27.699999999999999,27.899999999999999,28.399999999999999,27.800000000000001,28.300000000000001,28.600000000000001,29.100000000000001,29.300000000000001,30.5,32.600000000000001,33.5,34.600000000000001,96.5,234.90000000000001,233.90000000000001,232.19999999999999,230.30000000000001,228.59999999999999,226.59999999999999,223.59999999999999,218.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,372.0,373.10000000000002,373.80000000000001,375.19999999999999,376.19999999999999,377.60000000000002,379.30000000000001,380.80000000000001,382.10000000000002,383.69999999999999,386.39999999999998,387.60000000000002,257.39999999999998,226.30000000000001,92.900000000000006,93.5,58.899999999999999,55.600000000000001,54.100000000000001,53.799999999999997,53.100000000000001,53.100000000000001,53.299999999999997,230.40000000000001,271.80000000000001,268.19999999999999,264.19999999999999,261.39999999999998,258.0,255.09999999999999,253.16666666666666,249.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,329.0,327.80000000000001,331.88888888888891,333.11111111111109,336.19999999999999,340.5,343.69999999999999,345.89999999999998,348.30000000000001,350.30000000000001,353.10000000000002,355.89999999999998,358.19999999999999,361.80000000000001,365.80000000000001,368.60000000000002,293.89999999999998,295.39999999999998,397.0,523.29999999999995,457.69999999999999,454.80000000000001,451.30000000000001,420.60000000000002,387.5,352.69999999999999,387.39999999999998,0,0,0,0,0,0
