truss_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,228.0,288.69999999999999,288.69999999999999,288.69999999999999,288.69999999999999,288.69999999999999,288.69999999999999,288.69999999999999,288.60000000000002,288.60000000000002,288.60000000000002,288.60000000000002,288.60000000000002,288.60000000000002,288.19999999999999,288.19999999999999,288.19999999999999,288.19999999999999,288.19999999999999,288.19999999999999,288.19999999999999,288.19999999999999,288.19999999999999,288.19999999999999,288.19999999999999
10,4995.0,4971.1999999999998,4971.1999999999998,4970.8000000000002,4970.8000000000002,4970.6999999999998,4970.6000000000004,4970.6000000000004,4970.6000000000004,4970.5,4970.5,4970.5,4970.1000000000004,4970.1000000000004,4970.5,4970.5,4970.5,4970.3999999999996,4969.8000000000002,4969.6999999999998,4969.6999999999998,4969.6999999999998,4969.6999999999998,4969.6999999999998,4969.6999999999998
11,3521.0,3506.0999999999999,3506.0999999999999,3506.5,3506.5,3506.5999999999999,3506.6999999999998,3506.6999999999998,3506.8000000000002,3506.9000000000001,3506.9000000000001,3506.9000000000001,3507.1999999999998,3507.1999999999998,3507.1999999999998,3507.1999999999998,3507.1999999999998,3507.3000000000002,3507.9000000000001,3506.9000000000001,3506.9000000000001,3506.9000000000001,3506.8000000000002,3506.8000000000002,3506.8000000000002
12,2711.0,2708.6999999999998,2708.6999999999998,2708.6999999999998,2708.6999999999998,2708.6999999999998,2708.6999999999998,2708.6999999999998,2708.6999999999998,2708.6999999999998,2708.6999999999998,2708.6999999999998,2708.8000000000002,2708.8000000000002,2708.8000000000002,2708.8000000000002,2708.8000000000002,2708.8000000000002,2708.8000000000002,2709.9000000000001,2709.9000000000001,2709.9000000000001,2710.0,2710.0,2710.0
13,2190.0,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.1999999999998,2176.1999999999998,2176.1999999999998,2176.1999999999998,2176.1999999999998,2176.0999999999999,2176.0999999999999,2176.0999999999999
