core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,388.0,367.0,353.69999999999999,326.39999999999998,311.39999999999998,289.89999999999998,252.30000000000001,225.80000000000001,192.09999999999999,165.19999999999999,137.59999999999999,116.0,101.59999999999999,90.200000000000003,79.099999999999994,72.099999999999994,64.0,58.5,51.5,46.100000000000001,41.200000000000003,36.399999999999999,32.0,29.699999999999999,26.899999999999999
7,314.0,294.19999999999999,289.0,297.69999999999999,299.10000000000002,305.19999999999999,333.60000000000002,338.5,363.30000000000001,373.89999999999998,384.89999999999998,382.60000000000002,375.89999999999998,366.60000000000002,353.30000000000001,320.89999999999998,305.30000000000001,251.30000000000001,225.19999999999999,197.30000000000001,172.59999999999999,155.30000000000001,135.19999999999999,117.59999999999999,106.09999999999999
8,179.0,219.80000000000001,238.30000000000001,256.89999999999998,270.5,285.89999999999998,295.10000000000002,312.30000000000001,321.19999999999999,337.5,351.80000000000001,364.60000000000002,370.5,379.10000000000002,384.89999999999998,411.19999999999999,385.19999999999999,421.39999999999998,436.0,456.30000000000001,445.89999999999998,453.0,454.0,456.60000000000002,442.80000000000001
9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,14.4,14.4,14.4,16.699999999999999,27.800000000000001,43.0,55.100000000000001,73.700000000000003,86.799999999999997,136.5,159.80000000000001,178.30000000000001,191.30000000000001,231.30000000000001,246.30000000000001,269.80000000000001,287.10000000000002,315.19999999999999
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
