truss_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,11.0,11.0,10.800000000000001,10.800000000000001,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.300000000000001,10.300000000000001,10.1,10.1,10.1,10.1,10.1,9.9000000000000004,9.6999999999999993,9.6999999999999993
5,1200.0,1256.7,1256.7,1256.9000000000001,1256.9000000000001,1256.3,1256.3,1256.3,1256.3,1256.3,1256.3,1256.3,1256.3,1255.7,1255.7,1255.7,1255.7,1255.9000000000001,1254.7,1254.4000000000001,1254.4000000000001,1254.4000000000001,1254.3,1254.2,1254.2
6,1605.0,1590.3,1590.3,1590.3,1590.3,1591.2,1590.2,1590.2,1590.2,1590.2,1588.2,1588.2,1588.2,1588.8,1588.8,1589.0,1589.0,1589.0,1590.2,1588.5,1588.5,1588.5,1588.8,1589.0999999999999,1587.0999999999999
7,734.0,714.0,714.0,714.0,714.0,714.0,715.0,712.60000000000002,712.60000000000002,712.60000000000002,714.60000000000002,714.60000000000002,714.60000000000002,714.60000000000002,714.60000000000002,714.60000000000002,714.60000000000002,714.60000000000002,714.60000000000002,716.60000000000002,716.60000000000002,716.60000000000002,716.60000000000002,716.60000000000002,718.60000000000002
8,246.0,239.0,239.0,239.0,239.0,239.0,239.0,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001
9,216.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0
10,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
