core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48
1,2262.0,2213.8000000000002,2164.3000000000002,2119.9000000000001,2077.5,2035.0,1998.0,1961.0,1923.5,1891.5999999999999,1858.2,1826.4000000000001,1797.2,1765.9000000000001,1735.5999999999999,1705.0999999999999,1677.7,1651.3,1626.4000000000001,1600.9000000000001,1577.0,1555.0999999999999,1532.5,1509.8,1491.9000000000001
2,2460.0,2421.5999999999999,2378.5999999999999,2343.5,2307.4000000000001,2263.0,2218.0999999999999,2178.1999999999998,2139.5999999999999,2099.9000000000001,2065.0999999999999,2022.0,1990.5,1959.3,1925.2,1892.2,1858.7,1826.5,1790.7,1760.5,1734.5,1709.7,1682.4000000000001,1655.5999999999999,1626.9000000000001
3,1898.0,1905.0,1910.3,1898.7,1890.5,1891.5999999999999,1876.9000000000001,1857.3,1841.2,1829.5999999999999,1812.4000000000001,1801.5999999999999,1768.4000000000001,1750.5,1731.0999999999999,1708.7,1688.3,1669.3,1659.0,1641.7,1617.2,1590.3,1568.5,1552.7,1527.5999999999999
4,1200.0,1190.5999999999999,1194.4000000000001,1190.5999999999999,1187.7,1199.2,1204.0999999999999,1215.4000000000001,1230.2,1236.0,1237.7,1248.0,1261.0999999999999,1257.4000000000001,1263.0,1272.4000000000001,1279.5,1287.2,1285.0,1278.4000000000001,1280.3,1283.2,1280.0999999999999,1277.8,1280.5
5,894.0,924.79999999999995,931.70000000000005,964.39999999999998,984.20000000000005,995.10000000000002,1034.9000000000001,1041.8,1051.5999999999999,1044.8,1054.5,1035.8,1032.9000000000001,1029.7,1023.9,1022.2,1015.8,996.60000000000002,987.39999999999998,995.10000000000002,982.29999999999995,978.0,987.29999999999995,987.70000000000005,989.60000000000002
6,564.0,592.70000000000005,650.0,675.29999999999995,723.70000000000005,755.10000000000002,750.39999999999998,783.20000000000005,786.89999999999998,812.60000000000002,806.79999999999995,832.10000000000002,848.39999999999998,874.10000000000002,895.0,909.20000000000005,914.60000000000002,939.70000000000005,941.20000000000005,933.5,929.20000000000005,919.20000000000005,909.60000000000002,899.10000000000002,881.39999999999998
7,314.0,302.69999999999999,303.39999999999998,321.69999999999999,329.30000000000001,345.80000000000001,393.10000000000002,416.0,469.89999999999998,510.60000000000002,572.29999999999995,613.29999999999995,655.79999999999995,692.89999999999998,725.29999999999995,735.79999999999995,772.20000000000005,743.0,760.70000000000005,772.60000000000002,794.39999999999998,815.70000000000005,800.10000000000002,798.5,813.70000000000005
8,179.0,219.80000000000001,238.30000000000001,256.89999999999998,270.69999999999999,286.19999999999999,295.5,313.69999999999999,323.69999999999999,341.5,357.30000000000001,374.0,383.69999999999999,396.0,408.10000000000002,448.5,437.10000000000002,506.69999999999999,550.70000000000005,604.89999999999998,631.60000000000002,678.79999999999995,743.10000000000002,803.10000000000002,841.20000000000005
9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,14.4,14.4,14.4,16.699999999999999,27.800000000000001,43.0,55.200000000000003,73.799999999999997,86.900000000000006,137.09999999999999,160.69999999999999,179.90000000000001,193.40000000000001,234.5,251.0,277.39999999999998,296.69999999999999,328.19999999999999
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
