truss_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7603.0,7483.8000000000002,7483.3000000000002,7481.3000000000002,7480.5,7478.8999999999996,7477.8000000000002,7476.8000000000002,7475.3999999999996,7473.3999999999996,7471.1999999999998,7470.3000000000002,7468.0,7464.6999999999998,7463.0,7461.3000000000002,7460.1000000000004,7459.3000000000002,7457.6000000000004,7455.8999999999996,7454.1999999999998,7453.0,7451.1999999999998,7448.6000000000004,7446.1999999999998
4,7293.0,7171.8000000000002,7170.3999999999996,7171.8999999999996,7171.6999999999998,7172.1000000000004,7172.8000000000002,7173.8000000000002,7173.8999999999996,7174.8999999999996,7176.3000000000002,7177.0,7179.0,7181.0,7181.8999999999996,7182.1999999999998,7182.3999999999996,7180.6999999999998,7180.6999999999998,7181.6000000000004,7181.6000000000004,7182.0,7181.8999999999996,7182.3999999999996,7184.3000000000002
5,3573.0,3497.0,3498.9000000000001,3499.4000000000001,3500.4000000000001,3500.0,3500.5,3500.5999999999999,3502.0,3503.0,3503.8000000000002,3504.0999999999999,3504.5,3504.5,3505.1999999999998,3506.1999999999998,3507.1999999999998,3509.6999999999998,3508.9000000000001,3508.6999999999998,3510.5,3511.4000000000001,3512.1999999999998,3513.8000000000002,3514.3000000000002
6,1605.0,1590.4000000000001,1590.4000000000001,1590.4000000000001,1590.4000000000001,1592.0,1591.0,1591.0,1591.0,1591.0,1589.0,1589.0,1589.0,1590.3,1590.4000000000001,1590.8,1590.8,1590.8,1593.3,1592.3,1592.3,1592.3,1593.4000000000001,1593.9000000000001,1591.9000000000001
7,734.0,714.0,714.0,714.0,714.0,714.0,715.0,712.60000000000002,712.60000000000002,712.60000000000002,714.60000000000002,714.60000000000002,714.60000000000002,714.60000000000002,714.60000000000002,714.60000000000002,714.60000000000002,714.60000000000002,714.60000000000002,716.60000000000002,716.60000000000002,716.60000000000002,716.60000000000002,716.60000000000002,718.60000000000002
8,246.0,239.0,239.0,239.0,239.0,239.0,239.0,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001
9,216.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0
10,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
