core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48,change_50,change_52,change_54,change_56,change_58,change_60,change_62,change_64,change_66,change_68,change_70,change_72,change_74,change_76,change_78,change_80,change_82,change_84,change_86,change_88
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,809.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13.0,821.39999999999998,820.89999999999998,820.10000000000002,819.29999999999995,818.29999999999995,818.0,816.29999999999995,805.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,40.0,39.100000000000001,38.399999999999999,37.0,36.600000000000001,35.700000000000003,34.899999999999999,34.600000000000001,768.79999999999995,847.20000000000005,844.29999999999995,841.89999999999998,838.39999999999998,836.29999999999995,833.79999999999995,830.28571428571433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,26.0,26.399999999999999,26.899999999999999,27.699999999999999,27.899999999999999,28.399999999999999,27.800000000000001,28.300000000000001,28.600000000000001,29.100000000000001,29.300000000000001,30.5,32.600000000000001,33.5,34.600000000000001,285.5,864.89999999999998,863.89999999999998,862.20000000000005,860.29999999999995,858.60000000000002,856.60000000000002,853.60000000000002,848.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,372.0,373.10000000000002,373.80000000000001,375.19999999999999,376.19999999999999,377.60000000000002,379.30000000000001,380.80000000000001,382.10000000000002,383.69999999999999,386.39999999999998,387.60000000000002,257.39999999999998,226.30000000000001,92.900000000000006,93.5,58.899999999999999,55.600000000000001,54.100000000000001,53.799999999999997,53.100000000000001,53.100000000000001,53.299999999999997,734.39999999999998,901.79999999999995,898.20000000000005,894.20000000000005,891.39999999999998,888.0,885.10000000000002,883.16666666666663,879.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,329.0,327.80000000000001,331.88888888888891,333.11111111111109,336.19999999999999,340.5,343.69999999999999,345.89999999999998,348.30000000000001,350.30000000000001,353.10000000000002,355.89999999999998,358.19999999999999,361.80000000000001,365.80000000000001,368.60000000000002,293.89999999999998,295.39999999999998,649.0,1090.3,1087.7,1084.8,1081.3,1050.5999999999999,1017.5,982.70000000000005,1017.4,0,0,0,0,0,0
