core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48,change_50,change_52,change_54,change_56,change_58,change_60,change_62,change_64,change_66,change_68,change_70,change_72,change_74,change_76,change_78,change_80,change_82,change_84,change_86,change_88
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1168.0,1167.7,1167.4000000000001,1166.7,1166.5,1166.0999999999999,1165.7,365.5,123.8,74.299999999999997,50.899999999999999,38.299999999999997,28.5,21.699999999999999,17.300000000000001,14.800000000000001,12.199999999999999,10.300000000000001,9.0999999999999996,7.4000000000000004,6.5,5.5,4.7999999999999998,4.2000000000000002,3.8999999999999999,3.7777777777777777,3.3333333333333335,3.0,2.5555555555555554,2.25,2.25,2.125,1.875,2.0,1.7142857142857142,1.5714285714285714,1.5714285714285714,1.4285714285714286,1.2857142857142858,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333
7,20.0,19.199999999999999,18.5,18.800000000000001,18.399999999999999,18.0,17.5,816.60000000000002,1057.3,1105.7,1128.0999999999999,1139.8,1149.2,1155.7,1159.3,215.19999999999999,150.69999999999999,108.2,84.0,66.200000000000003,50.0,41.299999999999997,34.5,30.0,25.699999999999999,22.5,20.5,18.100000000000001,15.9,15.0,12.699999999999999,11.0,9.6999999999999993,8.3000000000000007,7.7999999999999998,7.0999999999999996,6.5,6.2999999999999998,5.7000000000000002,4.9000000000000004,4.2999999999999998,3.7000000000000002,3.3999999999999999,3.1000000000000001,3.1000000000000001
8,30.0,29.199999999999999,29.199999999999999,28.199999999999999,27.5,27.699999999999999,27.600000000000001,27.100000000000001,27.399999999999999,27.300000000000001,27.0,26.300000000000001,25.5,25.0,24.5,969.70000000000005,1035.0999999999999,1078.5999999999999,1102.8,1120.9000000000001,1136.0999999999999,1144.5,723.89999999999998,200.40000000000001,148.19999999999999,116.2,90.400000000000006,75.900000000000006,65.200000000000003,53.100000000000001,47.399999999999999,41.100000000000001,36.5,33.0,29.100000000000001,26.600000000000001,23.199999999999999,19.399999999999999,17.899999999999999,16.5,15.0,14.199999999999999,12.9,11.9,10.699999999999999
9,404.0,405.89999999999998,406.89999999999998,408.30000000000001,409.60000000000002,410.19999999999999,411.19999999999999,412.80000000000001,413.5,414.69999999999999,416.0,417.60000000000002,418.80000000000001,419.60000000000002,420.89999999999998,422.30000000000001,345.10000000000002,267.60000000000002,152.80000000000001,114.2,74.799999999999997,74.200000000000003,461.5,988.79999999999995,1044.2,1078.5999999999999,1105.7,1120.4000000000001,1131.5,1055.5999999999999,343.10000000000002,170.59999999999999,136.5,112.59999999999999,96.900000000000006,80.799999999999997,72.700000000000003,64.5,55.600000000000001,50.399999999999999,44.5,40.899999999999999,37.600000000000001,33.799999999999997,29.0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394.5,393.25,390.42857142857144,391.625,394.0,396.11111111111109,397.30000000000001,398.60000000000002,400.0,401.30000000000001,402.39999999999998,404.89999999999998,407.10000000000002,496.5,1217.0,1397.5999999999999,1437.8,1466.7,1487.0,1506.4000000000001,1518.5,1530.8,1541.9000000000001,1407.0999999999999,1413.3,979.60000000000002,831.10000000000002,678.79999999999995,226.40000000000001
