truss_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
6,205.0,255.0,255.0,255.0,255.0,255.0,254.80000000000001,254.80000000000001,254.80000000000001,254.80000000000001,254.40000000000001,254.40000000000001,254.40000000000001,254.40000000000001,254.40000000000001,254.40000000000001,254.40000000000001,254.40000000000001,254.69999999999999,254.30000000000001,254.30000000000001,254.30000000000001,254.30000000000001,254.40000000000001,253.90000000000001
7,734.0,714.0,714.0,714.0,714.0,714.0,714.20000000000005,711.79999999999995,711.79999999999995,711.79999999999995,712.20000000000005,712.20000000000005,712.20000000000005,712.20000000000005,712.20000000000005,712.20000000000005,712.20000000000005,712.20000000000005,712.20000000000005,712.60000000000002,712.60000000000002,712.60000000000002,712.60000000000002,712.5,713.0
8,246.0,239.0,239.0,239.0,239.0,239.0,239.0,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001,241.40000000000001
9,216.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0
10,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
