truss_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0,411.10000000000002,788.20000000000005,1346.7,1443.4000000000001
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.10000000000002,866.89999999999998,1237.3,1474.2,1794.8,1431.2,1105.4000000000001,712.83333333333337,423.80000000000001
7,0,0,0,0,0,0,0,0,0,0,0,0,344.80000000000001,997.5,1405.5999999999999,1682.3,1467.9000000000001,1180.5,1045.0,748.60000000000002,552.66666666666663,346.60000000000002,0,0,0
8,0,0,0,0,0,0,0,0,0,434.0,1111.2,1533.9000000000001,1560.5999999999999,1118.4000000000001,845.79999999999995,827.29999999999995,640.33333333333337,508.0,494.5,366.0,0,0,0,0,0
9,0,0,0,0,0,0,140.66666666666666,772.0,1404.0,1482.3,1092.8,893.29999999999995,590.29999999999995,614.0,520.60000000000002,387.60000000000002,315.75,490.0,0,0,0,0,0,0,0
10,0,0,0,0,182.5,838.10000000000002,1429.3,1297.0999999999999,1038.5999999999999,812.5,577.70000000000005,410.69999999999999,446.60000000000002,416.39999999999998,358.0,410.0,0,0,0,0,0,0,0,0,0
11,0,0,67.0,673.20000000000005,1381.9000000000001,1209.2,1047.3,805.39999999999998,491.5,237.40000000000001,284.39999999999998,362.625,304.75,471.0,217.0,0,0,0,0,0,0,0,0,0,0
12,0,194.5,1157.2,1186.5999999999999,997.39999999999998,783.39999999999998,512.29999999999995,225.90000000000001,219.90000000000001,268.5,294.85714285714283,320.0,400.0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,1221.5999999999999,1005.1,850.70000000000005,609.20000000000005,391.69999999999999,251.40000000000001,240.80000000000001,293.66666666666669,318.57142857142856,348.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,820.0,1063.0999999999999,784.89999999999998,545.70000000000005,338.39999999999998,182.90000000000001,161.59999999999999,236.66666666666666,204.40000000000001,223.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1146.0,646.20000000000005,408.5,247.90000000000001,140.59999999999999,166.30000000000001,321.0,198.25,272.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,676.0,323.60000000000002,242.0,112.09999999999999,72.099999999999994,398.75,349.33333333333331,289.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,523.0,353.0,129.19999999999999,63.299999999999997,274.69999999999999,294.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,153.0,120.40000000000001,20.199999999999999,234.0,366.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,540.0,40.0,233.59999999999999,283.83333333333331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.0,218.80000000000001,170.0,314.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.0,166.44444444444446,380.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,41.0,107.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,253.0,325.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
