truss_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11500.0,11456.1,11454.6,11453.1,11450.799999999999,11448.4,11447.0,11445.6,11445.0,11443.200000000001,11440.799999999999,11439.200000000001,11438.299999999999,11437.200000000001,11435.799999999999,11433.5,11430.6,11429.299999999999,11428.1,11425.4,11423.9,11422.200000000001,11419.799999999999,11417.9,11414.9
4,14524.0,14494.0,14495.200000000001,14494.299999999999,14496.200000000001,14498.299999999999,14498.700000000001,14498.9,14497.200000000001,14497.1,14498.799999999999,14500.0,14500.799999999999,14501.4,14502.200000000001,14503.299999999999,14504.1,14504.200000000001,14503.700000000001,14504.799999999999,14504.1,14504.5,14504.5,14505.1,14507.0
5,12208.0,12174.1,12173.700000000001,12175.9,12175.4,12175.1,12175.6,12175.4,12176.9,12177.9,12176.799999999999,12176.799999999999,12176.799999999999,12175.700000000001,12175.299999999999,12175.200000000001,12175.4,12176.200000000001,12177.700000000001,12178.4,12180.1,12180.5,12181.6,12181.1,12182.0
6,10339.0,10314.6,10315.200000000001,10314.700000000001,10315.299999999999,10315.299999999999,10314.9,10316.200000000001,10316.700000000001,10317.1,10318.200000000001,10316.4,10316.299999999999,10317.5,10318.0,10317.799999999999,10319.700000000001,10319.700000000001,10319.799999999999,10320.700000000001,10321.1,10318.200000000001,10319.5,10321.1,10321.1
7,8720.0,8694.8999999999996,8694.7000000000007,8694.6000000000004,8694.8999999999996,8694.7999999999993,8695.3999999999996,8695.0,8695.1000000000004,8693.3999999999996,8693.8999999999996,8695.0,8695.2000000000007,8695.0,8695.2999999999993,8696.7000000000007,8695.3999999999996,8695.2000000000007,8694.7999999999993,8694.5,8693.2999999999993,8696.8999999999996,8694.8999999999996,8694.7999999999993,8694.2000000000007
8,7811.0,7780.8999999999996,7781.1999999999998,7781.8000000000002,7781.6999999999998,7782.1999999999998,7782.5,7782.8000000000002,7782.1000000000004,7784.0,7784.1000000000004,7784.8999999999996,7784.1000000000004,7784.6999999999998,7784.5,7784.6000000000004,7785.3999999999996,7784.1999999999998,7783.6999999999998,7784.0,7783.6000000000004,7783.3999999999996,7785.3999999999996,7785.6999999999998,7786.3000000000002
9,6036.0,6022.5,6022.5,6022.6999999999998,6022.8000000000002,6022.8999999999996,6022.8999999999996,6023.1000000000004,6023.3000000000002,6023.6000000000004,6023.6999999999998,6024.0,6024.8000000000002,6024.8000000000002,6021.8000000000002,6021.8000000000002,6021.8999999999996,6023.6999999999998,6024.6000000000004,6024.6000000000004,6026.3000000000002,6026.6999999999998,6026.6999999999998,6026.6999999999998,6026.8999999999996
10,4995.0,4971.8000000000002,4971.8000000000002,4971.3999999999996,4971.3999999999996,4971.3999999999996,4971.3000000000002,4971.3000000000002,4971.8999999999996,4971.8000000000002,4971.8000000000002,4971.8000000000002,4971.3999999999996,4971.3999999999996,4974.8000000000002,4974.8000000000002,4975.1999999999998,4975.1000000000004,4974.6000000000004,4974.5,4974.5,4974.5,4974.5,4974.5,4974.5
