core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,208.0,179.09999999999999,165.69999999999999,152.59999999999999,142.59999999999999,132.30000000000001,125.59999999999999,111.8,106.59999999999999,97.200000000000003,89.299999999999997,78.799999999999997,71.299999999999997,65.0,58.899999999999999,49.899999999999999,47.299999999999997,36.899999999999999,33.899999999999999,30.699999999999999,27.300000000000001,23.699999999999999,19.600000000000001,17.399999999999999,15.699999999999999
8,179.0,207.90000000000001,221.30000000000001,234.40000000000001,244.40000000000001,254.69999999999999,261.39999999999998,270.80000000000001,276.0,285.39999999999998,291.0,290.60000000000002,283.10000000000002,277.39999999999998,265.60000000000002,262.19999999999999,223.09999999999999,213.80000000000001,201.69999999999999,194.19999999999999,169.5,162.80000000000001,152.90000000000001,146.40000000000001,134.09999999999999
9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,14.4,14.4,14.4,16.699999999999999,27.600000000000001,42.600000000000001,54.600000000000001,72.5,84.900000000000006,126.59999999999999,146.30000000000001,161.40000000000001,172.09999999999999,200.19999999999999,210.5,224.5,233.19999999999999,247.19999999999999
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
