truss_number,change_0,change_65,change_35,change_5,change_70,change_40,change_10,change_75,change_45,change_15,change_80,change_50,change_20,change_85,change_55,change_25,change_60,change_30
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11500.0,11401.700000000001,11433.0,11455.6,11397.5,11427.6,11453.200000000001,11391.4,11422.799999999999,11449.200000000001,11386.0,11417.799999999999,11443.9,11379.700000000001,11412.9,11441.299999999999,11407.700000000001,11436.5
4,14524.0,14507.6,14495.1,14492.799999999999,14509.700000000001,14497.9,14491.299999999999,14509.5,14497.799999999999,14491.5,14511.799999999999,14500.0,14495.5,14513.700000000001,14501.0,14494.1,14503.1,14495.0
5,12208.0,12185.1,12180.5,12175.1,12183.6,12181.299999999999,12175.700000000001,12187.1,12184.200000000001,12177.5,12188.0,12184.4,12176.4,12189.0,12184.799999999999,12178.6,12185.5,12179.5
6,10339.0,10328.4,10323.4,10314.799999999999,10330.700000000001,10324.200000000001,10316.700000000001,10331.299999999999,10325.1,10316.6,10332.6,10327.4,10318.4,10334.200000000001,10330.1,10319.4,10328.200000000001,10322.1
7,8720.0,8689.1000000000004,8688.2000000000007,8696.0,8689.6000000000004,8688.8999999999996,8694.8999999999996,8689.5,8689.1000000000004,8695.0,8689.7999999999993,8688.2999999999993,8691.7999999999993,8690.3999999999996,8686.2000000000007,8692.1000000000004,8689.7999999999993,8688.3999999999996
8,7811.0,7790.1999999999998,7787.1000000000004,7777.3000000000002,7788.6999999999998,7787.1999999999998,7779.3999999999996,7788.8999999999996,7787.6000000000004,7781.1999999999998,7789.1999999999998,7787.3000000000002,7784.6000000000004,7788.3999999999996,7789.1999999999998,7784.1000000000004,7789.3999999999996,7787.1000000000004
9,6036.0,6029.5,6026.8000000000002,6025.8999999999996,6031.0,6025.1000000000004,6025.5,6031.3000000000002,6025.1999999999998,6024.8000000000002,6030.6999999999998,6026.5,6025.1999999999998,6032.6999999999998,6027.5,6026.1000000000004,6028.0,6027.1000000000004
10,4995.0,4969.1000000000004,4970.8000000000002,4970.3000000000002,4968.8000000000002,4972.6000000000004,4971.1000000000004,4969.6000000000004,4973.0,4971.1000000000004,4970.3999999999996,4972.6999999999998,4969.6000000000004,4970.3999999999996,4972.0,4969.5,4971.8999999999996,4969.1999999999998
11,3521.0,3508.6999999999998,3508.5,3507.1999999999998,3509.8000000000002,3507.8000000000002,3505.5999999999999,3510.8000000000002,3507.8000000000002,3506.5,3510.0999999999999,3508.1999999999998,3508.0,3510.0999999999999,3507.8000000000002,3508.1999999999998,3506.9000000000001,3508.5
12,2711.0,2712.9000000000001,2710.3000000000002,2709.0,2712.9000000000001,2711.0999999999999,2710.5999999999999,2712.9000000000001,2711.0999999999999,2710.5999999999999,2713.5999999999999,2711.0999999999999,2710.5999999999999,2713.5999999999999,2711.9000000000001,2710.5999999999999,2712.9000000000001,2710.5999999999999
13,2190.0,2177.3000000000002,2175.9000000000001,2175.8000000000002,2177.1999999999998,2175.9000000000001,2175.8000000000002,2177.1999999999998,2175.9000000000001,2175.8000000000002,2177.3000000000002,2175.9000000000001,2175.6999999999998,2177.1999999999998,2176.1999999999998,2175.6999999999998,2176.1999999999998,2175.6999999999998
14,1394.0,1394.4000000000001,1394.4000000000001,1394.2,1394.5,1394.4000000000001,1394.2,1394.5,1394.4000000000001,1394.2,1394.5,1394.4000000000001,1394.3,1394.5999999999999,1394.4000000000001,1394.3,1394.4000000000001,1394.3
15,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0,1146.0
16,676.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0
17,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0
18,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0
19,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
23,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
