U19486	U06264
U22399	U14323
U27755	U04183
U45088	U00899
U20552	U46063
U02865	U26606
U34392	U05880
U05208	U83955
U02515	U32805
U04606	U76317
U24840	U12041
U15471	U40794
U30923	U13109
U33752	U05250
U05539	U48543
U97135	U04559
U42195	U50092
U27503	U03594
U07247	U83951
U46596	U11202
U87026	U03878
U41208	U70252
U04863	U83936
U61579	U01084
U02977	U13875
U49231	U03334
U12186	U00633
U04516	U73553
U53208	U54042
U35479	U07697
U34684	U03878
U40672	U05063
U30816	U37282
U01908	U28401
U74411	U47429
U77384	U50078
U71831	U25858
U36635	U03989
U54410	U38287
U14592	U18146
U01684	U28191
U53091	U37396
U82335	U06763
U06646	U81807
U00687	U61771
U72984	U02929
U34286	U08455
U20781	U19203
U22888	U69234
U26026	U25907
U93694	U05065
U43635	U24595
U25527	U44079
U56324	U40794
U91936	U01332
U03587	U38934
U09873	U10997
U49245	U00165
U82938	U24888
U33531	U22594
U60173	U13701
U17811	U63114
U01640	U56413
U86688	U38589
U29084	U04791
U45858	U35312
U10956	U53954
U08667	U22919
U01565	U49920
U11599	U01105
U40084	U51747
U80607	U22791
U16415	U01641
U87835	U30776
U22580	U10996
U00101	U03802
U55170	U46227
U48238	U30580
U59245	U17528
U56363	U25487
U17279	U65212
U03722	U53353
U86374	U47019
U00092	U24977
U02066	U92347
U17931	U37279
U05339	U08957
U88916	U79664
U08254	U34739
U20496	U02116
U32373	U64196
U12443	U21380
U26711	U36787
U18391	U57995
U15082	U75096
U11186	U34691
U49652	U01596
U60063	U13263
U54057	U06626
U64125	U06588
U72755	U67922
U05633	U74764
U09442	U03853
U43704	U54740
U18778	U06651
U47961	U49254
U05684	U68022
U61470	U06823
U45345	U23688
U38208	U09511
U33199	U07290
U03838	U17274
U40166	U00884
U03018	U66873
U30959	U47410
U02876	U93795
U41962	U20603
U39084	U07473
U07999	U29078
U00092	U46901
U13874	U17189
U12829	U34175
U59109	U47527
U03876	U94791
U00399	U00514
U03208	U15134
U59395	U62551
U31921
U33335	U86742
U06215	U37182
U01996	U71259
U09918	U10117
U04808	U49610
U08158	U25689
U02182	U00695
U08940	U23040
U33564	U14326
U35624	U06846
U58099	U89711
U10067	U02056
U15825	U27245
U19785	U16119
U91635	U62824
U47581	U37946
U90457	U05369
U53835	U04469
U21713	U96401
U44269	U01326
U74585	U02656
U39794	U04297
U34756	U29376
U25581	U06144
U38657	U02057
U02552	U73189
U19420	U03443
U06195	U11681
U21169	U76869
U43548	U26565
U05645	U85638
U68399	U03344
U21221	U06283
U15288	U57256
U08324	U52564
U70965	U37175
U77279	U55517
U41480	U06426
U49345	U49421
U75356	U06406
U07444	U37132
U00274	U03845
U71544
U39225	U05247
U05474	U47945
U19835	U00118
U03026	U53830
U58427	U04757
U14248	U10479
U35509	U13317
U25339	U04657
U40489	U12871
U04292	U51068
U28361	U13012
U13431	U18223
U13998	U07184
U03362	U81423
U00795	U16879
U79328	U00261
U32169	U01434
U04179	U61877
U63163	U20084
U08982	U19300
U06913	U01104
U70392	U52402
U24007	U12111
U04052	U50605
U22194	U08141
U25260	U31972
U36427	U19486
U08484	U12218
U25990	U14855
U61709	U00977
U11389	U19441
U02648	U20695
U02076	U82682
U01786	U55523
U36836	U04924
U80878	U18973
U03464	U30992
U04849	U35514
U00742	U01517
U05910	U06267
U89862	U07399
U38608	U36324
U90245	U52359
U63163	U59677
U02927	U94687
U28422	U91138
U79361	U84847
U54119	U08077
U50295	U06378
U32580	U05302
U39029	U87148
U01500	U00806
U34430	U14121
U10277	U19926
U48273	U19773
U32390
U43587	U53863
U58918	U83551
U34341	U03522
U02349	U45567
U56107	U05102
U04026	U35326
U62892	U03694
U85912	U01643
U31008	U03407
U63397	U23488
U26429	U07821
U22413	U01445
U80140	U12505
U47758	U19748
U42984	U00458
U13089	U08491
U00848	U18447
U83843	U45745
U06313	U68059
U27789	U03096
U02822	U16233
U05410	U92614
U57632	U28422
U33815	U07085
U43202	U22048
U36097	U57396
U65365	U75107
U36485	U42883
U37448	U40882
U13061	U71447
U55961	U10994
U03081	U34373
U63612	U01242
U47057	U56896
U02131	U33868
U04419	U06182
U53150	U03111
U08205	U33835
U17935	U33823
U41442	U49279
U07535	U52912
U31292	U75129
U04386	U07396
U17431	U15770
U35991	U05197
U70704	U61033
U48249	U64715
U57739	U06835
U13630	U17905
U54876	U46224
U00162	U08410
U24106	U10124
U59336	U04811
U15803	U95852
U49312	U01424
U02383	U11418
U03839	U90287
U44637	U06822
U45292	U18258
U37714	U05903
U25440	U11704
U08152	U74004
U11339	U56126
U65449	U65757
U27221	U38737
U26746	U21395
U20107	U00747
U68414	U94776
U00577	U39877
U01058	U63108
U01821	U66227
U09174	U12888
U00865	U19444
U06047	U00792
U03358	U04626
U05503	U11218
U15432	U18437
U08476	U64150
U46591	U03443
U43991	U00359
U60840	U46966
U05820	U91702
U28755	U48361
U09864	U14122
U01098	U82534
U44705	U06606
U06709	U29376
U07238	U51228
U31768	U09425
U54666	U09284
U02908	U21641
U27924	U49207
U09524	U53053
U02391	U44187
U46659	U42648
U13309	U35855
U27275	U23010
U17044	U26043
U22101	U41158
U46494	U08894
U75294	U22602
U54971	U76129
U26053	U07784
U22035	U01961
U45194	U14177
U01131	U03817
U00471	U63328
U25936	U16665
U32258	U06299
U23825	U14411
U02498	U60563
U07628	U79494
U16584	U21188
U10737	U09952
U12286	U54688
U06508	U83428
U00634	U02457
U01206	U64834
U02065	U71635
U05851	U38508
U00821	U17356
U39591	U09410
U53543	U27215
U46211	U35797
U15161	U25525
U02910	U17570
U28335	U34436
U07046	U02165
U13138	U28299
U06304	U14533
U33089	U16791
U58291	U07169
U17335	U24711
U50098	U46581
U17103	U16210
