U27755	U04183
U09077	U09548
U27691	U15232
U59226	U82966
U01787	U43300
U68577	U62378
U28573	U22965
U05596	U62055
U12961	U04157
U18559	U12076
U25557	U00086
U71175	U00806
U03362	U81423
U07157	U04420
U05764	U08408
U07343	U24015
U01407	U22712
U00204	U33206
U77384	U50078
U16111	U29726
U02543	U00074
U51529	U01672
U03444	U10854
U37006	U18649
U00687	U61771
U72984	U02929
U34286	U08455
U04471	U75103
U13595	U10917
U05458	U28217
U23288	U71407
U03587	U38934
U80176
U82938	U24888
U57993	U66545
U17811	U63114
U18505	U04813
U01640	U56413
U66845
U47570	U00196
U54226	U18472
U83409	U19392
U08373	U34011
U06768	U11211
U23708	U01765
U22580	U10996
U30923	U13109
U08144	U08550
U42260	U42529
U62493	U03419
U34280	U01014
U02231	U17154
U57833	U05613
U31850	U19963
U01763	U62126
U33523	U03315
U50726
U32373	U64196
U52099	U19196
U36787	U26711
U18391	U57995
U60063	U13263
U96956	U72177
U00030	U02120
U24920	U75246
U19308	U18196
U61470	U06823
U01524	U03188
U33199	U07290
U40166	U00884
U05277	U31473
U02876	U93795
U03529	U74274
U39084	U07473
U27502	U27504
U04807	U10121
U07991	U84126
U37433	U14900
U15651	U43221
U28801	U25705
U32312	U73823
U00003	U34254
U23008	U13317
U23628	U89508
U06215	U37182
U06854	U56381
U15932	U05796
U01996	U71259
U86521	U77310
U05386	U11020
U68445	U05475
U06188	U83763
U10067	U02056
U90622	U20135
U20380	U17718
U74585	U02656
U62397	U00761
U38657	U02057
U16967	U21208
U19420	U03443
U71485	U36159
U36616	U84276
U13314	U31091
U05645	U85638
U37829	U11485
U64303	U04525
U23699	U04046
U02874	U55794
U70965	U37175
U09411	U88481
U06443	U15716
U02177	U18745
U25848	U89865
U00648	U47538
U65876	U51134
U07418	U02450
U58940	U44817
U40489	U12871
U78424
U49266	U01396
U22430	U05258
U00837	U99587
U04179	U61877
U08982	U19300
U04946	U72829
U00201	U89634
U04052	U50605
U27972	U38638
U22194	U08141
U25260	U31972
U04956	U12973
U01050	U38711
U84300	U06471
U61709	U00977
U17626	U42586
U02076	U82682
U09871	U49629
U04017	U05641
U29995	U62378
U35199	U70889
U02685	U42334
U38608	U36324
U67197	U67307
U05524	U49981
