U56701	U11407
U06069	U49358
U17963	U33966
U19398	U29847
U05208	U83955
U02515	U32805
U55527	U67625
U22181	U01433
U06410	U06211
U06622	U15271
U33752	U05250
U97135	U04559
U42195	U50092
U46596	U11202
U04854	U44763
U08467	U54197
U55483	U09266
U53208	U54042
U35479	U07697
U05113	U64629
U69920	U04888
U17673	U29374
U05764	U74637
U35397	U05002
U27755	U04183
U14592	U18146
U86838	U01017
U43332	U00850
U80779	U01094
U02929	U72984
U51187	U94533
U11339	U56126
U14124	U03389
U35664	U02304
U61442	U57304
U32592	U73099
U26956	U16509
U20229	U17838
U02966	U35961
U02133	U49596
U97707	U00192
U01013	U55697
U08373	U34011
U37059	U11404
U23708	U01765
U77493	U01616
U52605	U14092
U18058	U72702
U89194	U82585
U38633	U39680
U74246	U08140
U29437	U12974
U07238	U17249
U07601	U89162
U34516	U34513
U10345	U03659
U65508	U07426
U01825	U71150
U46939	U76663
U05727	U83577
U36787	U26711
U54057	U06626
U01738	U03283
U03386	U14515
U43704	U54740
U05232	U20920
U08171	U14934
U45345	U23688
U34964	U73022
U03838	U17274
U24123	U42209
U04561	U37996
U44733	U35438
U01929	U98617
U45752	U41940
U48416	U55877
U14775	U27640
U26329	U76789
U45951	U00649
U02280	U39489
U02438	U94679
U06702	U00969
U72048	U21303
U06215	U37182
U15932	U05796
U42297	U08638
U08845	U09668
U00441	U32908
U03098	U72931
U39679	U06989
U35624	U06846
U08306	U23798
U08489	U24648
U91635	U62824
U08139	U92620
U53835	U04469
U41758	U18899
U47157	U63751
U64520	U38468
U70486	U15934
U53706	U00032
U05315	U02339
U06074	U08271
U17593	U00331
U03063	U19625
U05645	U85638
U04382	U16836
U37829	U11485
U38514	U92586
U01996	U57854
U69492	U00500
U42923	U16973
U57197	U29533
U23318	U12388
U05474	U47945
U02595	U14835
U82775	U26824
U14248	U10479
U35509	U13317
U76064	U06404
U02285	U99820
U17812	U08102
U28361	U13012
U13998	U07184
U51272	U00321
U39945	U59897
U04179	U61877
U17904	U30360
U44518	U72600
U12003	U25656
U19091	U52413
U08963	U00239
U22194	U08141
U19486	U36427
U08484	U12218
U84300	U06471
U17626	U42586
U02076	U82682
U69504	U47232
U65033	U12642
U74411	U47429
U00490	U12733
U84607	U05732
U49341	U14001
U02927	U94687
U00433	U18418
U32580	U05302
U10277	U19926
U65864	U30551
U32390
U67088	U30004
U17458	U01049
U33245	U00384
U02349	U45567
U55027	U05888
U00221	U93155
U44302	U74433
U07192	U88335
U18196	U15819
U26429	U07821
U22413	U01445
U23623	U25190
U00458	U42984
U43202	U22048
U55814	U00700
U43878	U34651
U05154	U36732
U29873	U14894
U13061	U71447
U19141	U10893
U21149	U47410
U05546	U20409
U45150	U02467
U05905	U69169
U08205	U33835
U17037	U10559
U52244	U51932
U07535	U52912
U38809	U02276
U04386	U07396
U80435	U09149
U25144	U02346
U07046	U76770
U23524	U09514
U32549	U25107
U13630	U17905
U02458	U51599
U18563	U19561
U75896	U09985
U49312	U01424
U02383	U11418
U59540	U45809
U44637	U06822
U06478	U47200
U08565	U01742
U09095	U08859
U07569	U37876
U02015	U12150
U10955	U62182
U01058	U63108
U09174	U12888
U06047	U00792
U87966	U03173
U08476	U64150
U07981	U23636
U54615	U08152
U06454	U09314
U28755	U48361
U15885	U03815
U72440	U05553
U01215	U04461
U64425	U02194
U73709	U16726
U73778	U14791
U39267	U00271
U60465	U05874
U02724	U29836
U04026	U03121
U13309	U35855
U82729	U18828
U09677	U84796
U58634	U36630
U06403	U50102
U01994	U20786
U11107	U08611
U88214	U04488
U32258	U06299
U04073	U15329
U20267	U01243
U00801	U22053
U16584	U21188
U06508	U83428
U22963	U07969
U38837	U09609
U82992	U09711
U01996	U23702
U39771	U17087
U07046	U02165
U60310	U00297
U13138	U28299
U75823	U00614
U16112	U85980
