U20358	U04352
U35713	U00506
U13889	U61087
U11451	U21249
U68577	U62378
U06018	U68732
U33752	U05250
U42195	U50092
U11450	U23684
U45903	U85749
U49231	U03334
U48993	U88845
U36090
U20175	U53828
U79354	U42639
U50448	U17167
U77384	U50078
U78230	U13667
U86138	U30694
U42171	U01014
U05336	U07460
U93694	U05065
U02515	U32805
U42125	U47173
U17811	U63114
U24799	U10890
U13967	U35258
U19420	U11799
U08373	U34011
U23708	U01765
U30923	U13109
U78756	U21345
U08144	U08550
U62493	U03419
U02231	U17154
U01554	U84327
U33523	U03315
U86091	U01426
U50726
U36787	U26711
U18391	U57995
U01118	U36243
U42012	U95624
U96355	U76492
U43704	U54740
U61972	U02196
U33487	U38188
U46293	U56168
U54280	U02544
U56488	U00262
U00325	U20081
U40166	U00884
U97619	U62868
U22477	U19361
U18330	U00745
U34477	U67586
U07999	U29078
U04304	U59385
U85152	U55553
U20595	U51751
U07991	U84126
U37433	U14900
U03876	U94791
U11059	U05839
U09891	U11266
U06215	U37182
U15932	U05796
U01996	U71259
U09918	U10117
U26620	U38878
U83763	U06188
U48690	U80176
U05682	U17290
U90622	U20135
U76823	U15306
U07166	U71006
U21804	U11963
U02946	U32562
U38657	U02057
U27728	U35275
U06074	U08271
U19420	U03443
U67748	U89260
U39870	U65305
U07288	U40538
U15288	U57256
U69492	U00500
U42500
U06443	U15716
U08458	U55039
U37929	U03766
U19420	U05574
U25351	U20750
U64579	U18688
U40489	U12871
U01147	U24509
U04508	U80844
U03362	U81423
U60589	U98305
U60797	U03373
U36507	U35180
U29580	U32109
U04052	U50605
U05574	U07891
U08007	U87461
U22194	U08141
U63851	U26654
U77983	U06180
U29843	U13962
U44203	U89943
U09373	U30155
U11120
U13240	U55999
U02076	U82682
U29691	U61034
U12351	U04424
U25261	U59222
U38608	U36324
U22891	U16315
U05764	U74637
U02927	U94687
U77991	U23462
U03732	U78122
U42644	U57585
U28687	U06419
U14915	U06419
U10277	U19926
U59528	U79575
U44746	U29137
U49266	U12485
U48336	U01815
U01674	U38579
U23726	U13377
U66401	U26587
U45153	U28325
U19907	U25302
U04646	U36205
U20723	U02328
U00458	U42984
U92602	U00293
U44008	U08392
U05569	U00270
U96529	U97833
U86136	U66124
U57632	U28422
U02127	U11938
U06525	U42933
U05154	U36732
U37448	U40882
U04310	U72759
U63612	U01242
U80779	U01094
U42500	U66038
U90298	U25697
U05905	U69169
U17935	U33823
U07535	U52912
U19420	U26319
U74808	U66783
U65511	U00190
U57739	U06835
U02458	U51599
U14866	U77633
U38706	U00459
U36718	U26252
U01742	U08565
U25440	U11704
U06690	U19658
U08138	U09530
U49184	U28563
U02015	U12150
U92438	U76878
U33748	U01296
U15832	U72528
U03358	U04626
U32775	U06380
U87966	U03173
U70934	U34407
U30013	U00287
U42340	U32645
U28839	U49167
U04659	U53562
U09225	U62178
U07625	U25142
U29092	U01696
U09961	U30498
U60465	U05874
U31214	U38111
U33932	U50281
U14006	U26973
U24393	U33730
U04754	U13892
U07628	U79494
U48633	U17731
U86631	U70573
U58879	U13542
U46279	U98565
U31333	U09544
U15161	U25525
U02910	U17570
U92650	U77953
U06304	U14533
U06280	U89530
U05828	U38595
U23655	U24308
U29037	U31132
U63518	U44032
U53327	U88379
U00332	U23256
U10801	U18866
U49729	U38469
U17564	U20936
U75064	U65648
U87889	U00859
U09794	U21724
U00619	U95716
U38332	U02772
U49199	U22212
U60132	U02646
U32539	U89580
U80021	U17680
U29961	U14413
U02586	U00740
U17981	U02205
U98840	U14154
U00728	U26839
U54291	U02774
U01074	U22500
U15946	U95279
U49613	U75340
U05792	U07692
U04724	U33582
U40672	U43848
U41456	U01211
U91836	U99658
U34983
U49857	U01817
U00916	U12045
U04179	U66711
U26396	U03882
U30358	U24228
U19485	U91283
U11285	U03443
U20175	U69838
U05737	U47301
U64614	U55850
U03534	U46421
U00282	U83349
U12037	U15413
U14348	U08628
U12078	U11584
U12070	U44849
U58437	U04907
U14485	U39718
U34011	U45509
U79337	U01117
U62789	U16192
U15963	U53583
U08863	U25022
U04707	U28294
U06545	U59964
U17315	U06974
U32684
U08264	U99785
U06763	U43313
U39090	U05904
U43756	U16199
U55964	U02260
U52233	U85092
U01055	U16045
U79566	U04189
U37500
U93563	U53467
U68262	U61176
U54652	U03648
U75229	U02581
U34820	U06419
U11092	U12100
U50776	U09363
U39161	U28698
U42043	U33804
U01743	U53177
U10859	U03913
U07438	U73048
U57715	U70826
U46799	U79339
U20381	U40678
U46977	U89888
U24812	U60301
U03820	U41387
U48622	U00328
U22079	U28830
U18315	U41580
U09236	U27507
U22814	U01647
U03205	U37448
U09253	U41440
U04127	U39234
U21662	U70430
U08486	U00119
U06832	U42990
U14042
U45594	U44165
U48126	U21870
U66510	U14078
U49885	U04859
