U56701	U11407
U70514	U74496
U60958	U02350
U12748	U00986
U19398	U29847
U53091	U37396
U68011	U06006
U00544	U67171
U63799	U24156
U20128	U86798
U45883	U48941
U00926	U58126
U97135	U04559
U02004	U36177
U38208	U09511
U27503	U03594
U67308	U05009
U23684	U11450
U45903	U85749
U05841	U39831
U57697	U06980
U21449	U25890
U35479	U07697
U69543	U32744
U30816	U37282
U07157	U04420
U53541	U09329
U43421	U64365
U18309	U97697
U17673	U29374
U63265	U70719
U49958	U32636
U35397	U05002
U84378	U01210
U35825	U14249
U49564	U38401
U70709	U81175
U01538	U30071
U13535	U78451
U14426	U22116
U72984	U02929
U92425	U21897
U12183	U09204
U46771	U84196
U13899	U14227
U93211	U00007
U00735	U14833
U44394	U25689
U05173	U84202
U60173	U13701
U20229	U17838
U17811	U63114
U26031	U02285
U01640	U56413
U22749	U31429
U00339	U34856
U13562	U21466
U99533	U17408
U03040	U41358
U22919	U08667
U11599	U01105
U23708	U01765
U10996	U22580
U08144	U08550
U55657	U76063
U62616	U29095
U57833	U05613
U29437	U12974
U14188	U02923
U65508	U07426
U48838	U00245
U01237	U77470
U13621	U08163
U03781	U33917
U20496	U02116
U32373	U64196
U12443	U21380
U62195	U05250
U21402	U39524
U14497	U80920
U42073	U62238
U01118	U36243
U05633	U74764
U29783	U54827
U22035	U20452
U43704	U54740
U18778	U06651
U05232	U20920
U21819	U23545
U37305	U65605
U12350	U02510
U06670	U69499
U54280	U02544
U42195	U50092
U86388	U60543
U99409	U01499
U00325	U20081
U40166	U00884
U04080	U16779
U98429	U16493
U50253	U00651
U38763	U94222
U22477	U19361
U13853	U32806
U47051	U53177
U34477	U67586
U39084	U07473
U27502	U27504
U13892	U34795
U13874	U17189
U07991	U84126
U46308	U00523
U03876	U94791
U21064	U06116
U02441	U80031
U02920	U28887
U13875	U06117
U01630
U06215	U37182
U15932	U05796
U17640	U00111
U38154	U04772
U34340	U17103
U49104	U61676
U57804	U58749
U35624	U06846
U58099	U89711
U43183	U25591
U29135	U10468
U10577	U18153
U48690	U80176
U88901	U31055
U16366	U12898
U90464	U00565
U15044	U18401
U65505	U04171
U29314	U10940
U33380	U37356
U21804	U11963
U05598	U73913
U29625	U26182
U05315	U02339
U02552	U73189
U06074	U08271
U19420	U03443
U06195	U11681
U41537	U95805
U73262	U60772
U00459	U33414
U93911	U05318
U20564	U35101
U56781	U04887
U30854	U57186
U64368	U02275
U15288	U57256
U09442	U18969
U01055	U31646
U08458	U55039
U27817	U73808
U10301	U13661
U00947	U54714
U08953	U02701
U25351	U20750
U03350	U80929
U03026	U53830
U14248	U10479
U01012	U78684
U46468	U34121
U17812	U08102
U03451	U04543
U45281	U57739
U89686	U20264
U13998	U07184
U39945	U59897
U00903	U79417
U34760	U18843
U49581	U00352
U02031	U48045
U11120	U61593
U29066	U15787
U04052	U50605
U22194	U08141
U00867	U32010
U48318	U04327
U18058	U13485
U10137	U69502
U11389	U19441
U02076	U82682
U83766	U01184
U04719	U33587
U47743	U34311
U68418	U16410
U83092	U50411
U15641	U05619
U08045	U08730
U94579	U23391
U49647	U12699
U02927	U94687
U10657	U23408
U07365	U33918
U62609	U91685
U50295	U06378
U32580	U05302
U39029	U87148
U34430	U14121
U19940	U08508
U48273	U19773
U47205	U17130
U32390
U09303	U54832
U43587	U53863
U72755	U11319
U06501	U36117
U63605	U10723
U23726	U13377
U58195	U51914
U04026	U35326
U31008	U03407
U05622	U16256
U22413	U01445
U23623	U25190
U90462	U36728
U04646	U36205
U00458	U42984
U13089	U08491
U00848	U18447
U31417	U60960
U05569	U00270
U37408	U14807
U02822	U16233
U02127	U11938
U43202	U22048
U13045	U27074
U39289	U35900
U06492	U93961
U37448	U40882
U19141	U10893
U29862	U23332
U35328	U28656
U03109	U51914
U01172	U97131
U69488	U00444
U04419	U06182
U29150	U00119
U13260	U76366
U25605	U92614
U52244	U51932
U07535	U52912
U19420	U26319
U04386	U07396
U61947	U49827
U70704	U61033
U07046	U76770
U21554	U30548
U07764	U76405
U26864	U25115
U00162	U08410
U24106	U10124
U07457	U09815
U32822	U02442
U33060	U60156
U02383	U11418
U23399	U33408
U15823	U10317
U44637	U06822
U08565	U01742
U15211	U00858
U01379	U18371
U25440	U11704
U43415	U29069
U15627	U20361
U46633	U69388
U06041	U05297
U07272	U18076
U25712	U45912
U10884	U17352
U01821	U66227
U09174	U12888
U19335	U62251
U06047	U00792
U26335	U05803
U46308	U61427
U87966	U03173
U70934	U34407
U15003	U71373
U13014	U40381
U22332	U51405
U09738	U04729
U28969	U15941
U42340	U32645
U21466	U35972
U44705	U06606
U04659	U53562
U64221	U01909
U97512	U07801
U00364	U08434
U15100	U40147
U04869	U00676
U52046	U10732
U01271	U27788
U60465	U05874
U02830	U34135
U46659	U42648
U27974	U62137
U19964	U14039
U48451
U46494	U08894
U00298	U12587
U27480	U02115
U15372	U68534
U01844	U21807
U20025	U05628
U32907	U23924
U27298	U87187
U00471	U63328
U13795	U33135
U01561	U25355
U32258	U06299
U55967	U56881
U07628	U79494
U20267	U01243
U16584	U21188
U48633	U17731
U25281	U04154
U07157	U27538
U57804	U27997
U42105	U02497
U01206	U64834
U01591	U26652
U02828	U69623
U16115	U13655
U84722	U02206
U40069	U12134
U46595	U40817
U21996	U15579
U02910	U17570
U28335	U34436
U15660	U25465
U70061	U06130
U06304	U14533
U07626	U47524
U08881	U05589
U01947	U90936
U74955	U06764
U24928	U64390
U17103	U16210
U16112	U85980
U26050
U05378	U86000
U25103	U45781
U29037	U31132
U72575	U07807
U27296	U12946
U51662	U02272
U27859	U07110
U33504	U09848
U03040	U31105
U53295	U64114
U35918	U00240
U33553	U22046
U17221	U00829
U83745	U06529
U04436	U58047
U20165	U01501
U12755	U12320
U33902	U18648
U20315	U12631
U06545	U65937
U38332	U02772
U03268	U59354
U43176	U12181
U42644	U00210
U99907	U03807
U08160	U05218
U07369	U45066
U48342	U06757
U03404	U68919
U19420	U11799
U40409	U55424
U29664	U06791
U11270	U37945
U20808	U34800
U46485	U16248
U65501	U48199
U05292
U98840	U14154
U53254	U14814
U41692	U02761
U36044	U11266
U02016	U91399
U54408	U30029
U36399	U72065
U23788	U13357
U02627	U13997
U31579	U71202
U11377	U13426
U05965	U44608
U08438	U08213
U04724	U33582
U04132	U34649
U08882	U84146
U33688	U52852
U34983
U07811	U14353
U06286	U60675
U02877	U32384
U74308	U21664
U17777	U28135
U04608	U13829
U26552	U05983
U56730	U10021
U03647	U01027
U10812	U06066
U07338	U76447
U40601	U42033
U03433	U22582
U00845	U35564
U51842	U21164
U45266	U03147
U73385	U00783
U96511	U21664
U00716	U85217
U05318	U42427
U52551	U20439
U01983	U32476
U61474	U07747
U03826	U63952
U45738	U02966
U12078	U11584
U12070	U44849
U58437	U04907
U25571	U43720
U85984	U07020
U79337	U01117
U03428	U40432
U42872	U98791
U02407	U34366
U00199	U30702
U01554	U84327
U06545	U59964
U46494	U21845
U00105	U21191
U18011	U16085
U80180	U10972
U21086	U13758
U13091	U11633
U10824	U27889
U99910	U24404
U52319	U01298
U39090	U05904
U43756	U16199
U12331	U00220
U01398	U24116
U07852	U98320
U19671	U21296
U33947	U39446
U32827	U32861
U28596	U23747
U79566	U04189
U10727	U01316
U59532	U36639
U16122	U48297
U38763	U13784
U02728	U06445
U03453	U27831
U06857	U74756
U72772	U05000
U75229	U02581
U55942	U04871
U85221	U21896
U11092	U12100
U02843	U67376
U10787	U13855
U14297	U21317
U06568	U34073
U00926	U27862
U03277	U17024
U38371	U13813
U26533	U52962
U10859	U03913
U35428	U06040
U46384	U42059
U62990	U00695
U46799	U79339
U48676	U48567
U27360	U27560
U42500	U09106
U21215	U00447
U05386	U42514
U21240	U02930
U01024	U51687
U86781	U44689
U22471	U30708
U69388	U56893
U22079	U28830
U60249	U07578
U08072	U11660
U23328	U00042
U84476	U04124
U00641	U14504
U14943	U02818
U50428	U05214
U04290	U59324
U60824	U03550
U74730	U72852
U18081	U03537
U03205	U37448
U15279	U92759
U25302	U08245
U76703	U06892
U39101	U06775
U22029	U69196
U83085	U02427
U26827	U30411
U06832	U42990
U28272	U06686
U64579	U03080
U06476	U89821
U11060	U33095
U06825	U29984
U39927	U64488
U19789	U08204
U74405	U27751
U31934	U03680
U20712	U15599
U01525	U79472
U34955	U09864
U05661	U06638
U61123	U03198
U08200	U46284
U05411	U21346
U01201	U45163
U07376	U93330
U19420	U23746
U16698	U30863
U25449	U04279
U80067	U08313
U12755	U36842
U66102	U16867
U40014	U91910
U55107	U15516
U23195	U34206
U01224	U22241
U45825	U37800
U00796	U02232
U07981	U47293
U42376	U34322
U02612	U03135
U08671	U07683
U01527	U53192
U00188	U30927
U45285	U37315
U75453	U07866
U07001	U31042
U85520	U34184
U34638	U99661
U20491	U05098
U49700	U22755
U55036	U44650
U05864	U47190
U17861	U17402
U45076	U91303
U17945	U12489
U04140	U78068
U28211	U18011
U06475	U83801
U02717	U03225
U50197	U05539
U12841	U28285
U01882	U09240
U65012	U53177
U65741	U03859
U26652	U01544
U84523	U01646
U16201
U47933	U11558
U66989	U01236
U43291	U07564
U44559	U14919
U52738	U08297
U90643	U14335
U05015	U85548
U01398	U28483
U56265	U04543
U06392	U46488
U10207	U29200
U12064	U14168
U11317	U34818
U91899	U26763
U03186	U09463
U16716	U26475
U13817	U04717
U21075	U51111
U26569	U00470
U98317	U03353
U13117	U26202
U00347	U60255
U01524	U03188
U45420	U46550
U06054	U19180
U26286	U35678
U06430	U89602
U10042	U14883
U62180	U00024
U06553	U94595
U38640	U14529
U10725	U55744
U71742	U03108
U10300	U13978
U24251	U04855
U06986	U16472
U82564	U53315
U26441	U01821
U90360	U06009
U08728	U42685
U03812	U12012
U03445	U02900
U51687	U06704
U29391	U94347
U57548	U21293
U23855	U17587
U34089	U09210
U46729	U13903
U02555	U38351
U70297	U06064
U85439	U40432
U13229	U35613
U72042
U07290	U60317
U26988	U53680
U02023	U40606
U04557	U23111
U06994	U57745
U00698	U74658
U39212	U01041
U04204	U10098
U07269	U81985
U18401	U52940
U60058	U04637
U59118	U27994
U56558	U70488
U52819	U01604
U09894	U18379
U08405	U14189
U13482	U53014
U15082	U47269
U73657	U71143
U32897	U13182
U30970	U11359
U09749	U05678
U01289	U16319
U91610	U40907
U24004	U14636
U69896	U52616
U09692	U63087
U50350	U01834
U01312	U73050
U03611	U06424
U89114	U23929
U35519	U29190
U13874	U19096
U32889	U00061
U26696	U01897
U70763	U04705
U04366	U15283
U53671	U76574
U09037	U70686
