U22399	U14323
U94259	U87200
U18626	U50604
U19398	U29847
U53091	U37396
U68011	U06006
U02515	U32805
U24151	U45040
U04606	U76317
U00854	U51101
U19731	U18295
U45883	U48941
U97135	U04559
U46596	U11202
U67308	U05009
U11450	U23684
U12992	U01715
U01910	U49610
U00625	U88815
U13639	U38119
U39794	U04297
U57703	U00817
U57697	U06980
U21449	U25890
U71175	U00806
U36031	U08745
U22074	U24220
U30816	U37282
U65804	U12384
U03383	U18892
U04849	U35514
U63265	U70719
U05764	U74637
U09437	U00292
U01224	U13881
U45679	U00774
U35825	U14249
U51529	U01672
U30694	U86138
U03875	U41673
U14084	U56476
U42171	U01014
U72984	U02929
U38809	U02276
U32346	U25033
U06524	U11990
U13595	U10917
U93694	U05065
U65632	U04787
U21065	U30979
U04141	U80919
U30112	U37131
U09873	U10997
U29783	U48866
U82938	U24888
U03251	U22920
U26956	U16509
U20229	U17838
U17811	U63114
U02966	U35961
U01640	U56413
U17458	U01072
U23011	U45890
U55226	U42251
U10956	U53954
U13562	U21466
U53338	U33929
U08667	U22919
U22063	U34824
U35683	U73262
U11599	U01105
U10562	U38556
U24779	U15097
U22580	U10996
U30923	U13109
U08144	U08550
U87295	U26083
U07787	U56894
U79517	U04508
U16096	U33967
U01554	U84327
U29437	U12974
U31850	U19963
U07534	U34196
U20154	U05507
U89162	U07601
U02851	U58213
U05339	U08957
U02843	U67376
U13621	U08163
U15272	U89402
U53326	U25287
U12443	U21380
U36787	U26711
U04113	U93608
U00450	U17244
U69302	U27434
U01201	U45163
U98937	U54545
U00030	U02120
U17023	U03198
U05232	U20920
U21819	U23545
U78385	U32613
U66715	U21953
U43413	U23296
U01524	U03188
U40149	U30864
U00281	U54723
U03838	U17274
U40166	U00884
U03018	U66873
U03054	U28948
U14804	U43090
U02876	U93795
U22146	U00447
U34477	U67586
U06250	U08841
U39084	U07473
U31773	U39621
U49268	U53165
U27502	U27504
U13892	U34795
U13874	U17189
U07991	U84126
U27484	U74315
U03876	U94791
U35263	U22515
U01507	U30132
U45063	U02805
U06737	U43509
U14020	U34571
U21428	U12337
U11746	U52793
U00212	U13847
U06854	U56381
U15932	U05796
U15541	U28671
U01996	U71259
U12187	U29545
U56634	U12841
U00441	U32908
U03098	U72931
U33564	U14326
U06846	U35624
U58099	U89711
U10067	U02056
U16726	U13539
U10577	U18153
U45903	U85749
U27709	U16345
U12804	U51178
U22682	U23221
U90457	U05369
U44269	U01326
U42984	U66217
U21804	U11963
U05598	U73913
U29625	U26182
U78704	U49900
U24118	U07583
U02552	U73189
U06074	U08271
U17593	U00331
U06195	U11681
U21169	U76869
U67780	U00213
U44169	U32210
U05645	U85638
U20564	U35101
U07288	U40538
U08642	U32960
U23081	U11177
U07261	U12147
U05757	U46530
U90687	U01667
