U29721	U23242
U56701	U11407
U99377	U07669
U27386	U88330
U19398	U29847
U01787	U43300
U27755	U04183
U46273	U08502
U04606	U76317
U16120	U65713
U30923	U13109
U45883	U48941
U01061	U18995
U55300	U56893
U49004	U46151
U46596	U11202
U01572	U15001
U60959	U31451
U00284	U55039
U75064	U00761
U04108	U20949
U39794	U04297
U53208	U54042
U35479	U07697
U08953	U02701
U40672	U05063
U37282	U30816
U32018	U15857
U05955	U62295
U05113	U64629
U69920	U04888
U17673	U29374
U89530	U31335
U97269	U04282
U95537	U21499
U41341	U06009
U54410	U38287
U14592	U18146
U18693	U05952
U68295	U03352
U66643	U05719
U51982	U13513
U02929	U72984
U34286	U08455
U51187	U94533
U20781	U19203
U06524	U11990
U45888	U16425
U35742	U15217
U27041	U00042
U02515	U32805
U94056	U60484
U91936	U01332
U03587	U38934
U09873	U10997
U48930	U11329
U42125	U47173
U82938	U24888
U63527	U57312
U39159	U31166
U60173	U13701
U17811	U63114
U02966	U35961
U01640	U56413
U51309	U01093
U11273	U10601
U00339	U34856
U53338	U33929
U22063	U34824
U06768	U11211
U37059	U11404
U23708	U01765
U80607	U22791
U59279	U76429
U95202	U37051
U22580	U10996
U20128	U86798
U00391	U62326
U55657	U76063
U50056	U18804
U42260	U42529
U62493	U03419
U15072	U19280
U57833	U05613
U45451	U00500
U02066	U92347
U07372	U52546
U50336	U45017
U05306	U56420
U65508	U07426
U01825	U71150
U13621	U08163
U03523	U18199
U20496	U02116
U32373	U64196
U12443	U21380
U36787	U26711
U21820	U25591
U50228	U78062
U01201	U45163
U00267	U29021
U54057	U06626
U21566	U01981
U05435	U30884
U34688	U13578
U03386	U14515
U00030	U02120
U05232	U20920
U50472	U35257
U61470	U06823
U01524	U03188
U86388	U60543
U07428	U25669
U90851	U04916
U03018	U66873
U31406	U39616
U48605
U02876	U93795
U01012	U84484
U07642	U75768
U62708	U21548
U39084	U07473
U01129	U04181
U07999	U29078
U20228	U99761
U36260	U39126
U13874	U17189
U07991	U84126
U37433	U14900
U46308	U00523
U03876	U94791
U60584	U73938
U70545	U04625
U51526	U17235
U08901	U46444
U11746	U52793
U06215	U37182
U15932	U05796
U01996	U71259
U45420	U03074
U13423	U10493
U64630	U04683
U00441	U32908
U03098	U72931
U22355	U34221
U06188	U83763
U10067	U02056
U26588	U37947
U19785	U16119
U08365	U15260
U20352	U34366
U10192	U02763
U00276	U76547
U51808	U39106
U36222	U51871
U47157	U63751
U49231	U03334
U43441	U27406
U52524	U13803
U64009	U04514
U00237	U81870
U05315	U02339
U02552	U73189
U06074	U08271
U61514	U95899
U06195	U11681
