U17963	U33966
U19398	U29847
U68577	U62378
U36177	U02004
U22706	U72132
U67308	U05009
U07338	U30647
U05841	U39831
U57697	U06980
U00109	U59621
U03362	U81423
U39643	U19840
U77384	U50078
U16111	U29726
U30694	U86138
U14426	U22116
U51187	U94533
U28217	U05458
U93694	U05065
U04141	U80919
U33108	U11184
U04260	U04044
U43661	U43662
U01013	U55697
U06768	U11211
U68385	U44941
U20128	U86798
U08144	U08550
U16464	U71316
U57833	U05613
U36003	U38095
U07534	U34196
U00302	U17077
U25277	U69546
U06180	U89104
U03876	U28248
U52099	U19196
U36787	U26711
U02882	U70621
U75220	U60015
U43704	U54740
U01308	U65108
U01524	U03188
U05277	U31473
U02876	U93795
U01363	U49440
U24953	U68124
U76773	U06448
U07991	U84126
U37527	U03081
U05090	U63012
U15932	U05796
U01996	U71259
U09918	U10117
U60811	U00767
U39693	U22104
U38080	U41805
U03098	U72931
U36504	U60658
U68506	U46806
U48690	U80176
U04792	U53899
U08365	U15260
U90457	U05369
U76823	U15306
U91824
U53657	U08628
U05315	U02339
U06074	U08271
U19420	U03443
U64303	U04525
U59345	U11856
U42500
U02177	U18745
U25848	U89865
U65876	U51134
U25351	U20750
U07418	U02450
U06489	U43424
U95570	U10327
U01177	U43032
U04292	U51068
U00171	U04366
U40357	U12174
U13438	U05578
U35528	U08235
U00903	U79417
U22041	U81670
U23614	U01126
U04052	U50605
U22194	U08141
U25260	U31972
U36427	U19486
U58022	U49922
U02076	U82682
U62257	U32684
U52208	U06277
U09504	U03847
U49186	U75412
U22280	U13093
U22980	U00214
U78099	U11572
U63940	U35081
U54119	U08077
U50295	U06378
U10277	U19926
U55275	U07648
U40658	U07915
U06834	U75818
U24289	U59004
U50259	U51819
U25302	U19907
U03273	U42926
U90462	U36728
U11986	U12256
U00848	U18447
U15349	U83622
U05569	U00270
U03076	U16892
U02822	U16233
U25180	U39314
U14141	U44566
U60495	U17662
U13061	U71447
U63612	U01242
U42500	U66038
U05905	U69169
U08205	U33835
U01177	U57004
U53889	U23161
U19420	U26319
U04386	U07396
U09923	U03719
U28549	U07141
U00162	U08410
U95568	U81670
U25728	U02057
U22699	U11792
U25440	U11704
U43415	U29069
U67704	U34152
U05336	U07460
U33748	U01296
U09174	U12888
U00865	U19444
U66388	U99820
U03358	U04626
U08476	U64150
U43991	U00359
U15885	U03815
U64425	U02194
U02315	U51544
U08080	U52758
U07418	U17279
U11226	U00206
U01055	U50886
U03587	U38934
U07049	U65244
U11934	U25267
U26053	U07784
U00471	U63328
U13795	U33135
U55503	U13093
U07628	U79494
U48633	U17731
U62256	U18196
U41028	U03868
U12166	U65937
U53543	U27215
U30945	U50493
U06304	U14533
U16928	U43702
U07626	U47524
U13297	U65937
U08078	U28145
U08246	U47584
U17564	U20936
U13207	U26474
U89036	U13303
U06545	U65937
U38332	U02772
U01467	U86833
U53890	U49335
U44079	U00790
U24443	U11776
U26123	U44542
U02202	U93297
U02586	U00740
U36798	U59276
U07604	U40348
U02219	U99093
U17981	U02205
U98840	U14154
U02154	U14725
U21885	U45993
U41816	U25137
U07078	U10622
U01074	U22500
U31767	U07969
U11377	U13426
U05792	U07692
U04724	U33582
U20358	U04383
U43848	U40672
U84248	U23198
U91794	U42336
U00916	U12045
U13639	U30156
U03470	U97826
U14609	U06579
U11285	U03443
U40601	U42033
U03031	U03780
U51842	U21164
U97484	U04930
U26373	U10073
U12037	U15413
U11872
U13489	U23042
U51257	U28169
U12078	U11584
U12070	U44849
U58437	U04907
U25571	U43720
U56943	U92676
U64070	U01879
U29544	U50282
U01554	U84327
U06545	U59964
U12378	U22402
U77139	U03044
U25489	U45509
U06763	U43313
U22189	U15441
U43756	U16199
U60850	U92824
U56679	U25625
U64684	U35740
U07852	U98320
U01055	U16045
U00377	U62495
U54652	U03648
U75229	U02581
U06545	U19113
U44291	U01564
U11940	U00349
U02554	U49328
U42043	U33804
U10859	U03913
U57715	U70826
U01187	U54151
U46977	U89888
U89505	U00226
U00740	U07582
U03736	U60820
U01563	U12952
U24920	U36085
U05021	U76421
U42500	U39083
U74730	U72852
U96432	U07222
U03205	U37448
U03802	U71903
U83085	U02427
U85538	U56178
U06832	U42990
U19789	U08204
U14866	U25464
U02124	U51413
U21662	U17492
U01696	U38772
U13625	U22500
U10910	U09544
U44196	U02677
U24576	U91416
U71756	U01971
U48124	U02149
U24401	U03443
U14912	U25940
U47473	U48536
U45825	U37800
U94051	U47991
U04504	U50860
U19873	U65679
U14503	U03955
U02831	U88816
U75453	U07866
U18420	U22465
U00030	U02120
U56882	U15187
U04762	U61875
U58079	U04389
U65741	U03859
U84523	U01646
U95829	U24012
U08171	U14934
U07607	U67728
U07611	U23661
U50206	U04834
U07211	U38326
U06763	U69966
U23302	U42200
U12064	U14168
U91899	U26763
U03186	U09463
U13817	U04717
U03256	U35819
U29531	U08454
U98317	U03353
U46553	U00129
U03098	U77965
U30147	U07150
U00101	U10425
U94547	U01570
U06043	U45987
U05575	U74960
U60753	U41259
U89099	U00201
U28877	U48982
U40061	U04762
U57548	U21293
U85865	U01096
U70297	U06064
U13229	U35613
U72042
U00449	U04809
U60216	U87126
U33565	U75192
U07978	U32171
U09073	U90205
U37614	U27101
U09894	U18379
U69154	U39094
U07132	U24174
U13285	U87304
U43755	U01971
U01289	U16319
U09692	U63087
U39202	U80734
U02977	U30971
U01312	U73050
U05987	U21517
U72743	U83273
U69718	U04983
U27817	U02204
U14725	U62251
U78109	U66920
U08324	U81162
U79489	U08361
U37308	U00932
U98560	U95624
U85972	U17909
U62715	U64539
U00842	U32164
U87394	U08221
U07902	U55998
U60751	U43142
U07121	U20727
U07532	U11719
U12309	U28305
U57965	U58606
U06013	U68927
U70804	U87069
U02235	U32389
U03689	U65772
U44361	U04536
U21116	U03551
U05024	U57818
U66549	U26612
U00470	U29844
U44219	U14648
U06384	U94458
U04616	U13771
U38657	U23258
U01126
U90145	U28771
U14731	U42998
U05963	U28313
U22678	U09107
U89523	U44639
U01025	U11380
U67994	U13512
U31018	U05534
U05330	U09593
U12638	U03955
U30251	U00796
U52550	U18379
U18891	U80061
U56178	U08472
U86494	U04552
U60366	U10293
U49131
U15617	U64312
U77540	U55826
U17182	U51093
U65473	U65956
U08845	U09668
U23726	U57698
U14650	U16926
U20578	U59656
U24012	U75329
U04491	U76374
U68415	U00555
U25323	U72811
U74895	U07482
U63172	U55930
U04711	U09069
U51029	U10014
U03321	U24209
U10538	U65355
U02313	U67853
U07209	U43698
U54652	U85755
U10144	U13869
U04009	U36854
U09795	U66358
U03092	U62346
U49410	U82729
U94588	U02385
U66759	U00847
U91095	U02452
U09311	U40187
U05751
U36109	U21172
U01618	U52789
U01174	U85824
U74814	U88454
U26038	U64801
U60820	U30804
U13695	U02891
U07672	U78923
U45932	U00760
U48981	U57082
U49956	U43683
U89130	U35176
U98055	U99157
U24899	U36500
U70609	U17254
U75166	U07020
U05926	U78282
U74883	U10883
U04542	U75352
U97467	U05750
U20064	U67267
U02244	U10942
U45987	U23943
U48922	U00344
U10000	U03898
U36364	U09974
U13955	U27946
U01856	U47178
U60746	U60001
U38657	U02057
U08258	U05243
U75208	U61414
U13261	U04260
U06363	U43720
U61501	U41470
U40596	U23663
U16024	U21121
U04039	U43319
U75188	U01244
U11934	U66503
U34158	U00111
U25301	U17913
U23997	U21712
U13042	U35819
U11934	U16304
U04465	U33017
U17374	U20392
U04475	U77364
U06489	U07140
U43037	U52789
U30622	U41755
U00526	U44558
U21657	U95578
U09622	U22194
U08099	U68001
U04676	U10752
U12186	U00831
U23659	U01764
U32290	U18117
U58619	U07799
U90035	U00584
U19562	U03736
U07611	U86676
U66356	U23993
U01116	U18733
U08601	U12008
U44398	U61518
U00734	U95665
U01548	U86454
U22168	U58921
U12787	U09834
U01743	U68730
U14612	U19658
U17934	U21402
U17064	U16457
U03838	U18631
U07052	U06194
U60002	U27874
U01640	U53113
U66772	U18018
U17540	U09970
U39029	U23559
U01271	U01124
U94303	U07627
U14030	U19234
U83386	U02232
U48981	U03911
U01622	U10453
U14226	U36788
U84838	U58623
U96250	U03559
U42051	U17732
U12523	U01118
U09132	U76923
U34697	U38111
U80661	U08182
U65679
U09766	U12952
U70143	U02340
U84261	U00169
U22264	U27618
U74758	U30359
U58555	U43116
U91433	U39733
U67235	U05206
U53748	U46304
U26841	U21138
U35509	U13317
U10935	U60578
U01300	U65946
U05788	U32360
U10504	U50132
U02748	U30046
U50843	U48721
U31433	U08489
U96556	U71918
U17295	U08594
U04004	U20421
U08080	U86298
U09953	U63497
U00109	U21296
U85461	U02340
U62430	U03652
U77718	U02260
U11119	U82769
U81484	U29347
U10673	U21027
U37273
