U56701	U11407
U70514	U74496
U19398	U29847
U01787	U43300
U05208	U83955
U02515	U32805
U20128	U86798
U33752	U05250
U05596	U62055
U00284	U55039
U05841	U39831
U13193	U21358
U57697	U06980
U71175	U00806
U03362	U81423
U39513	U56094
U04509	U90280
U16111	U29726
U67147	U08975
U30694	U86138
U52473	U26335
U42171	U01014
U02929	U72984
U93694	U05065
U38454	U37203
U04260	U04044
U18401	U62521
U17458	U01072
U03040	U41358
U08373	U34011
U30923	U13109
U08144	U08550
U38633	U39680
U01554	U84327
U00439	U14073
U65508	U07426
U48622	U00328
U03876	U28248
U36787	U26711
U08067	U37997
U00729	U13749
U03889	U77715
U01118	U36243
U37018	U85604
U05633	U74764
U03386	U14515
U43704	U54740
U08171	U14934
U12350	U02510
U01524	U03188
U69853	U06012
U40166	U00884
U67792	U09315
U22477	U19361
U34477	U67586
U07999	U29078
U85152	U55553
U07991	U84126
U03876	U94791
U34973	U04223
U01507	U30132
U02441	U80031
U06215	U37182
U15932	U05796
U01996	U71259
U10410	U10842
U00441	U32908
U08306	U23798
U71816	U00177
U15044	U18401
U41758	U18899
U47157	U63751
U21804	U11963
U28111	U95211
U38657	U02057
U06074	U08271
U15288	U57256
U42500
U57820	U07582
U06443	U15716
U01646	U03198
U25351	U20750
U03026	U53830
U24289	U90221
U88205	U09841
U40489	U12871
U14781	U52445
U45281	U57739
U60797	U03373
U00748	U05333
U04052	U50605
U22194	U08141
U25260	U31972
U77983	U06180
U08484	U12218
U11120
U02076	U82682
U28539	U18767
U13695	U10837
U82856	U03432
U38608	U36324
U49186	U75412
U02394	U94898
U07063	U29886
U50295	U06378
U10277	U19926
U00181	U42626
U24504	U07285
U01674	U38579
U94998	U01229
U40121	U03134
U53467	U15943
U00848	U18447
U01063	U09791
U65511	U94171
U57632	U28422
U25180	U39314
U50390	U94223
U37018	U00025
U05154	U36732
U71128	U78849
U14603	U79564
U04310	U72759
U74960	U59085
U51395	U02972
U00687	U61771
U42500	U66038
U90298	U25697
U19420	U26319
U04386	U07396
U09923	U03719
U28549	U07141
U48249	U64715
U57739	U06835
U07457	U09815
U32893	U19154
U58905	U64316
U36718	U26252
U51257	U40623
U37415	U05800
U25440	U11704
U00750	U61833
U07569	U37876
U14618	U49049
U00946	U07318
U30166	U01986
U44433	U54931
U00865	U19444
U87966	U03173
U08476	U64150
U05820	U91702
U42276	U65762
U04659	U53562
U03533	U71598
U02315	U51544
U49306	U07500
U09961	U30498
U60465	U05874
U17178	U23636
U07049	U65244
U18199	U34300
U89781	U13001
U08764	U05333
U26053	U07784
U05961	U09874
U01869	U39692
U07628	U79494
U60295	U34796
U46999	U08038
U48633	U17731
U34514	U20713
U57358	U02483
U58879	U13542
U00821	U17356
U02910	U17570
U97220	U67931
U25861	U72630
U05378	U86000
U29037	U31132
U02846	U22145
U53327	U88379
U10801	U18866
U08078	U28145
U68033	U06080
U13568	U15031
U01416	U41876
U17564	U20936
U11120	U86880
U01308	U04165
U06545	U65937
U38332	U02772
U18897	U13253
U39283	U14329
U02586	U00740
U98840	U14154
U15969	U22459
U54291	U02774
U18109	U15943
U43848	U40672
U41456	U01211
U34983
U00090	U02935
U30923	U17811
U04179	U66711
U40601	U42033
U05737	U47301
U60140	U46599
U00184	U14277
U12037	U15413
U12078	U11584
U12070	U44849
U58437	U04907
U42012	U01471
U14485	U39718
U85984	U07020
U04548	U42113
U79628	U79982
U21060	U43886
U15963	U53583
U00663	U04846
U06763	U43313
U43756	U16199
U17997	U49246
U56679	U25625
U40579	U35348
U00826	U66121
U54652	U03648
U75229	U02581
U55942	U04871
U11092	U12100
U59066	U47863
U38371	U13813
U00870	U00740
U10859	U03913
U07438	U73048
U58287	U00370
U46799	U79339
U01187	U54151
U26156	U86352
U46977	U89888
U99444	U00802
U01538	U37661
U25277	U69546
U12694	U00406
U09236	U27507
U22814	U01647
U74730	U72852
U03205	U37448
U32857	U15404
U09253	U41440
U83085	U02427
U49719	U19279
U06832	U42990
U56475	U29159
U48126	U21870
U14866	U25464
U97003	U05846
U01696	U38772
U20801	U31731
U10910	U09544
U54740	U08269
U71756	U01971
U08778	U45955
U20325	U56486
U06275	U30670
U61070	U47955
U45825	U37800
U64635	U38805
U08472	U58670
U04504	U50860
U78626	U30139
U01572	U45530
U58501	U17615
U99268	U54465
U03977	U17614
U88691	U05569
U05652	U79083
U04337	U86129
U56882	U15187
U04762	U61875
U59267	U71162
U20686	U30713
U29953	U12620
U02381	U25416
U58079	U04389
U03859	U65741
U84523	U01646
U47933	U11558
U01308	U65108
U24415	U24574
U52738	U08297
U05015	U85548
U01995	U32302
U74217	U07595
U52020	U07960
U19585
U87908	U26335
U12064	U14168
U42667	U80621
U14618	U25765
U03256	U35819
U41204	U00633
U54280	U02544
U01699	U82027
U10042	U14883
U07490	U51744
U39636	U00285
U73655	U02205
U70499	U04207
U16033	U00880
U46729	U13903
U85865	U01096
U25464	U34914
U07047	U08436
U01630	U11839
U13229	U35613
U13831
