U27755	U04183
U00181	U14097
U06069	U49358
U56701	U11407
U02515	U32805
U00116	U20140
U68435	U05889
U40764	U15269
U65807	U53697
U97135	U04559
U38208	U09511
U87423	U01038
U46596	U11202
U24812	U10104
U23121	U06140
U33452	U04114
U61579	U01084
U08938	U10789
U01786	U05732
U21449	U25890
U35479	U07697
U17041	U01603
U37656	U50729
U69920	U04888
U74411	U47429
U40225	U24875
U35825	U14249
U15449	U43715
U43332	U00850
U11055	U12153
U06646	U81807
U29489	U11081
U02929	U72984
U20781	U19203
U06524	U11990
U53855	U26303
U93694	U05065
U22360	U02582
U00027	U75991
U91936	U01332
U09873	U10997
U26956	U16509
U87788	U22464
U02966	U35961
U25526	U06808
U66845
U00339	U34856
U37059	U11404
U23708	U01765
U20128	U86798
U00144	U29967
U39133	U76999
U59881
U08144	U65697
U18793	U21024
U57833	U05613
U29437	U12974
U15068
U65508	U07426
U01825	U71150
U08870	U20419
U72860	U29594
U05727	U83577
U36787	U26711
U08486	U20366
U84775	U34647
U13368	U81694
U54057	U06626
U75220	U60015
U05588	U40789
U05232	U20920
U08171	U14934
U02486	U13486
U28633	U16343
U48869	U00261
U54280	U02544
U00311	U11684
U34165	U18392
U76196	U21348
U99409	U01499
U03838	U17274
U38909	U24096
U04080	U16779
U03054	U28948
U01012	U84484
U21755	U77512
U27502	U27504
U38479	U06453
U13041	U16964
U67308	U05009
U03876	U94791
U95370	U55814
U11746	U52793
U03842	U17115
U05090	U63012
U15932	U05796
U15541	U28671
U45420	U03074
U54944	U03038
U00025	U36832
U03098	U72931
U35624	U06846
U44828	U29233
U48614	U13001
U90622	U20135
U08139	U92620
U00608	U16445
U99860	U90872
U37910	U01747
U62397	U00761
U05315	U02339
U06074	U08271
U17593	U00331
U75324	U92887
U00585	U24079
U05645	U85638
U57697	U06980
U21221	U06283
U01996	U57854
U23435	U12104
U92402	U00443
U00527	U85453
U42923	U16973
U25848	U89865
U15738	U02534
U05474	U47945
U48456	U09548
U14248	U10479
U21248	U04098
U46468	U34121
U01190	U03532
U28361	U13012
U01321	U42862
U13998	U07184
U51272	U00321
U07197	U53546
U04179	U61877
U60797	U03373
U56603	U27763
U93372	U59239
U41790	U00798
U08963	U00239
U22194	U08141
U36427	U19486
U17808	U23179
U08484	U12218
U12285	U02043
U00148	U59763
U02076	U82682
U00655	U65539
U03464	U30992
U01328	U40924
U49187	U84925
U00490	U12733
U08356	U09015
U77384	U50078
U02927	U94687
U52245	U03530
U32580	U05302
U10277	U19926
U02873	U49390
U32390
U48336	U01815
U15253	U69572
U42554	U72533
U55027	U05888
U71175	U90117
U94053	U05629
U14592	U18146
U94998	U01229
U26429	U07821
U03273	U42926
U23623	U25190
U89271	U17777
U04024	U10891
U48514	U58109
U11569	U27901
U05569	U00270
U04636	U54461
U19115	U22293
U33815	U07085
U13045	U27074
U43878	U34651
U06277	U38052
U36485	U42883
U13061	U71447
U48618	U37174
U63612	U01242
U21654	U54184
U05905	U69169
U32208	U09625
U01177	U57004
U07535	U52912
U04386	U07396
U59016	U16937
U25144	U02346
U07046	U76770
U23524	U09514
U32549	U25107
U07021	U34733
U46224	U54876
U49312	U01424
U02383	U11418
U22667	U83920
U16921	U34912
U08565	U01742
U15211	U00858
U37714	U05903
U26956	U54501
U08152	U74004
U52099	U06567
U95325	U64709
U02015	U12150
U68414	U94776
U92035	U07758
U01821	U66227
U09174	U12888
U06878	U12287
U06047	U00792
U01542	U33054
U87966	U03173
U08476	U64150
U07981	U23636
U06454	U09314
U22392	U14924
U01215	U04461
U00364	U08434
U10100	U24024
U42168	U65576
U32273	U00328
U32854	U19823
U56123	U20005
U01271	U27788
U60465	U05874
U01901	U48090
U02830	U34135
U02767	U44739
U13309	U35855
U91508	U72829
U11934	U25267
U11006
U36630	U58634
U10342	U27441
U01740	U23999
U25936	U16665
U04073	U15329
U16584	U21188
U09103	U28570
U39197	U05160
U90327	U52523
U11636	U61689
U07046	U02165
U60310	U00297
U70061	U06130
U15516	U15069
U77739	U34289
U58291	U07169
U01656	U52758
U03866	U80785
U33583	U29122
U18505	U04813
U06123	U24326
U96550	U07158
U59969	U85129
U08078	U28145
U01836	U38934
U83745	U06529
U16048	U12578
U04436	U58047
U94795	U03252
U19135	U04367
U03414	U53480
U13861	U91767
U20315	U12631
U03268	U59354
U58804	U26810
U01467	U86833
U00612	U69795
U03197	U29083
U53392	U14052
U43945	U07487
U67908	U09790
U03987	U67463
U07369	U45066
U78049	U06130
U00178	U67595
U29664	U06791
U07085	U53546
U00728	U26839
U02820	U03403
U56263	U29367
U21885	U45993
U02016	U91399
U02627	U13997
U49990	U02936
U11377	U13426
U08438	U08213
U04724	U33582
U25301
U43848	U40672
U40535	U11786
U09657	U53738
U11186	U08799
U00252	U56827
U25280	U19787
U51842	U21164
U14663	U13231
U38082	U10972
U12037	U15413
U57176	U54310
U28169	U51257
U32653	U07528
U38633	U39680
U82649	U00230
U40432	U03428
U04251	U17110
U01876	U37479
U08161	U84892
U19639	U00788
U42387	U61777
U09776	U45457
U21086	U13758
U60994	U60768
U19269	U61955
U43756	U16199
U00220	U12331
U56958	U12344
U27482	U08652
U17000	U02265
U00989	U25227
U05199	U83376
U06737	U32283
U06667	U08993
U39927	U55237
U28162	U10479
U75229	U02581
U87849	U06381
U75163	U04128
U20369	U20037
U73328	U01960
U35428	U06040
U02644	U10789
U38829	U03851
U34735	U05367
U00451	U28004
U82848	U04554
U69388	U56893
U18777	U12302
U69954	U51423
U22511	U15743
U77918	U02286
U60824	U03550
U74730	U72852
U18081	U03537
U06116	U08456
U10644	U11138
U28876	U38035
U87073	U62323
U83085	U02427
U26827	U30411
U06762	U89798
U06199	U95459
U14042
U00649	U28429
U26089	U00040
U30293	U42368
U08049	U22738
U61576	U00976
U00100	U12080
U14866	U25464
U44656	U20374
U28933	U42395
U06588	U76507
U12781	U12692
U42073	U62238
U54740	U08269
U10881	U03168
U04761	U30558
U16916	U84606
U24276	U09894
U50229	U20202
U93615	U38422
U01224	U22241
U38195	U03628
U45825	U37800
U64635	U38805
U04504	U50860
U78626	U30139
U45285	U37315
U27482	U15634
U75453	U07866
U07001	U31042
U24280	U50102
U28832	U69802
U54955	U29843
U02346	U30179
U23077	U24342
U56882	U15187
U04762	U61875
U17811	U58298
U14151	U16009
U12841	U28285
U01882	U09240
U97357	U01887
U65741	U03859
U03875	U64774
U48062	U74205
U47933	U11558
U77623	U24675
U24415	U24574
U00383	U40189
U52738	U08297
U07921	U23545
U06392	U46488
U67047	U00800
U10207	U29200
U40274	U32685
U16176	U26410
U03186	U09463
U13817	U04717
U53957	U02482
U42538	U04981
U54059	U03771
U03547	U35566
U57176	U61177
U04366	U48921
U19488	U59340
U03717	U47346
U20696	U36186
U41140	U26846
U39638	U02691
U03767	U08364
U41244	U08754
U82684	U37736
U01533	U20207
U11636	U27952
U24777	U00198
U34799	U00075
U23073	U13716
U71742	U03108
U82565	U01145
U02183	U41146
U10970	U19724
U53867	U09020
U26441	U01821
U90360	U06009
U02137	U44084
U07351	U62516
U63198	U10711
U02555	U38351
U32307	U20406
U69105	U22667
U81449	U15942
U00449	U04809
U01264	U30343
U06622	U42622
U02454	U38371
U09177	U21498
U07978	U32171
U08489	U10613
U04204	U10098
U41923	U12527
U83386	U23584
U69758	U30126
U84733	U00948
U57939	U02950
U91049	U21458
U23561	U41452
U09749	U05678
U95486	U05097
U07353	U96782
U09045	U53911
U24407	U40958
U17332	U05085
U57718	U01856
U19209	U20056
U35326	U08447
U11486	U05189
U06681	U93009
U70763	U04705
U51935	U10460
U09037	U70686
U11409	U06346
U54066	U71542
U19414	U61339
U41244	U38910
U01248	U72885
U24016	U88086
U59089	U05197
U11934	U14063
U38598	U07449
U24474	U10508
U16285	U07838
U09405	U20890
U67101	U26092
U01882	U20162
U12298	U20857
U08882	U41126
U70819	U72126
U17084	U06711
U03564	U03803
U49934	U11947
U59109	U47527
U04030	U52927
U12316	U25033
U16812	U80253
U15651	U43221
U87659	U06562
U32743	U74669
U04249	U21536
U35257	U19247
U12234	U08213
U07280	U53016
U07540	U14097
U03619	U06592
U00470	U29844
U25526
U13219	U07777
U02003	U88098
U76267	U41321
U93589	U05005
U74344	U44130
U39713	U02116
U14731	U42998
U55533	U05332
U71379	U11913
U69773	U21339
U25594	U24455
U01374	U01212
U31203	U53192
U57760	U02694
U07053	U80635
U06895	U43738
U73402	U03422
U07793	U12328
U16507	U03264
U67994	U13512
U10173	U42303
U00303	U90688
U07787	U15536
U51352	U01303
U29175	U07744
U56601	U07010
U10983	U12092
U38147	U81567
U06772	U06389
U02326	U21275
U11667	U22095
U16890	U00218
U28254	U19008
U02705	U10506
U04358	U36693
U84382	U64342
U08679	U08315
U55415	U04271
U17965
U35005	U00748
U37162	U30522
U04491	U76374
U00441	U32908
U44096	U03073
U11459	U38946
U05601	U50864
U41847	U12862
U14237	U16776
U41616	U48267
U35915	U06755
U21931	U54777
U10802	U07197
U03609	U81523
U65118	U80198
U71400	U02484
U04009	U36854
U40511	U07284
U10067	U02056
U06402	U82463
U91984	U81867
U24111	U24109
U94588	U02385
U76196	U31488
U55731	U40925
U02548	U71463
U09329	U33202
U01348	U56344
U60387	U21872
U11705
U19423	U26512
U07077	U19706
U23811	U07755
U45487	U07763
U90247	U77692
U22484	U35693
U74814	U88454
U56634	U18207
U20616	U11307
U59687	U66326
U00109	U49401
U03202	U08913
U04547	U09277
U06636	U85952
U18563	U04566
U06133	U56312
U00295	U39445
U20876	U45913
U22530	U09463
U02594	U22264
U04243	U52985
U90074	U26280
U24899	U36500
U00559	U00921
U54062	U28237
U08046	U18130
U08735	U04079
U20492	U11963
U42409	U03277
U64822	U58014
U80108	U03379
U20064	U67267
U76196	U07092
U87346	U08226
U37601	U25755
U18213	U71720
U40263	U04671
U28945	U28970
U65932	U56134
U13955	U27946
U32473	U04064
U36595	U11704
U60746	U60001
U05087	U16305
U00175	U52596
U07934	U26592
U31947	U00710
U07659	U32458
U89918	U05181
U21081	U07194
U13261	U04260
U02555
U19001	U41952
U03150	U06722
U99021	U01962
U00114	U83559
U35854	U36950
U34913	U45789
U48186	U41039
U35764	U00190
U56841	U91559
U11934	U16304
U25364	U17410
U49944	U40521
U50261	U85485
U02056	U48626
U02894	U30807
U20443	U02435
U83373	U20654
U05758	U01783
U00526	U44558
U11015	U78915
U24234	U07683
U03043	U82075
U28395	U29347
U30487	U65327
U76278	U29172
U05757	U46530
U66356	U23993
U53103	U36023
U34400	U30923
U76473	U27182
U01548	U86454
U12787	U09834
U14066	U17959
U76286	U11480
U04823	U02150
U72527	U68931
U12963	U14990
U53081	U16938
U40768	U55050
U06698	U26095
U03838	U18631
U07052	U06194
U82767	U53735
U74920	U07322
U34750	U46812
U13874	U29868
U08809	U15693
U01752	U92456
U41637	U10335
U04335	U32929
U58214	U24065
U02236	U74148
U05287	U46554
U00401	U39544
U22044	U15144
U25787	U43749
U25621	U25905
U12565	U96982
U51927	U53334
U03838	U12504
U08581	U33464
U53448	U42618
U34528	U06466
U17661	U13521
U07606	U56959
U45679	U36717
U18020	U21576
U01387	U69158
U67235	U05206
U58019	U01615
U30767	U04161
U22822	U30251
U27204	U08085
U88440	U15173
U61930	U04381
U31090	U00151
U57304	U07065
U17908	U21976
U07323	U15156
U04352	U44161
U08646	U02665
U56627	U02458
U33032	U91135
U15351	U00090
U09344	U01448
U17812	U08102
U38905	U27496
U02688	U49373
U21146
U38787	U03457
U50843	U48721
U44424	U01962
U00160	U71312
U42760	U99641
U70680	U42378
U17295	U08594
U29535	U71125
U10653	U49151
U89087	U52735
U06665	U61561
U10428	U10220
U45592	U02350
U60403	U00390
U06892	U15533
U77718	U02260
U72508	U93361
U97267	U00184
U09323	U10447
U00064	U12908
U02797	U16979
U86006	U03967
U63914	U19787
U16631	U23368
U01914	U56622
U05616	U38767
U96270	U00475
U00469	U06191
U04236	U59077
U12793	U03053
U14372	U36671
U02047	U66645
U16928	U12129
U17089	U00678
U25677	U36599
U63688	U03005
U42323	U04110
U17881	U13260
U57437	U73461
U53989	U74441
U02815	U14753
U53666
U05672	U69005
U00201	U89634
U13541	U04312
U24439	U32799
U04954	U94601
U38901	U46205
U23296	U15964
U52082	U04822
U01587	U85108
U04390	U19351
U34363	U53830
U25419	U39907
U40816	U14266
U25073	U15343
U09816
U93707	U07114
U20847	U06886
U22484	U90605
U06464	U12145
U01784	U06034
U14012	U19244
U08544	U08385
U05634	U96387
U43097	U07364
U10429	U21203
U19489	U30342
U68314	U46628
U54474	U28790
U33271	U06089
U73185	U24649
U15287	U50380
U53863	U15286
U73675	U18131
U32465	U77905
U26854	U53987
U01289	U45765
U14864	U21678
U66970	U27602
U74491	U03122
U45794	U24014
U50032	U00121
U06672	U94768
U34025	U07969
U12185	U12176
U09399	U27860
U03504	U24604
U01176	U77263
U10233	U42828
U24447	U07065
U09440	U03224
U05644	U00583
U08229	U42675
U31462	U02658
U05820	U69349
U27971	U04518
U08270	U27074
U27874	U67104
U12296	U07745
U35623	U00855
U73746	U61477
U00742	U01517
U04645	U75219
U29265	U48514
U21933	U54039
U78745	U07749
U09344	U02041
U34118	U08332
U03601	U02068
U42649	U34225
U01924	U01805
U32535	U05944
U38186	U03734
U11905	U33069
U53009	U05178
U25704	U21190
U09480	U29653
U04636	U02778
U02362	U47110
U31220	U57101
U75626	U29870
U16372	U10491
U34262	U17859
U14948	U05982
U09664	U04226
U42172	U05931
U19518	U45551
U00562	U16660
U04076	U29760
U52657	U65141
U00201	U33464
U36097	U22329
U05642	U46319
U16584	U16581
U07543	U07435
U02025	U59453
U06023	U08524
U24972	U37176
U73458	U64811
U64910	U20966
U41954	U08000
U01674	U28458
U26652	U01544
U43373	U22862
U08878	U04268
U04240	U47233
U59377	U59170
U11610	U48927
U06445	U09864
U34430	U14121
U49185	U53224
U06869	U02255
U00102	U73469
U36690	U48415
U30995	U03036
U82535	U06521
U71744	U05966
U03435	U86074
U90074	U69701
U25405	U45119
U04113	U14968
U10118	U05175
U07580	U75920
U46065	U68381
U10428	U01471
U14866	U42670
U27068	U05450
U08813	U87421
U34082	U29802
U21482	U26734
U03017	U67501
U06501	U36117
U19554	U19512
U44729	U74942
U23296	U26459
U52227	U32617
U20164	U04778
U15753	U60271
U94039	U06509
U19515	U24969
U76546	U01373
U71653	U61273
U10300	U12044
U01169	U73412
U17286	U36104
U28001	U45766
U76449	U07451
U01684	U28921
U19691	U23821
U52054	U31242
U75713	U38350
U60546	U01061
U00344	U92921
U03698	U69867
U94796	U07421
U12700	U31305
U00119	U03388
U28027	U07716
U66123	U32726
U42011	U69153
U36952	U72961
U37791	U09277
U97124	U16290
U49949	U23873
U67849
U05624	U43028
U01239	U13598
U59490	U92800
U01234	U04278
U05972	U02914
U45953	U16014
U97966	U07915
U32545	U76803
U23677	U08837
U05898	U09021
U07315	U12772
