U19486	U06264
U06675	U13406
U07222	U92988
U23827	U54050
U40764	U15269
U71773	U19516
U45131	U72092
U19398	U29847
U40045	U43236
U83056	U66005
U05208	U83955
U46273	U08502
U20204	U64422
U04218	U41485
U30923	U13109
U48941	U45883
U33752	U05250
U67328	U50052
U28462	U13705
U97135	U04559
U73653	U28602
U46596	U11202
U04854	U44763
U67308	U05009
U76316	U23927
U04863	U83936
U50754	U84765
U49231	U03334
U53208	U54042
U35479	U07697
U15607	U64338
U37282	U30816
U50448	U17167
U38680	U89858
U02807	U85666
U21062	U27751
U35397	U05002
U54410	U38287
U13192	U16172
U43332	U00850
U78595	U39329
U28469	U02644
U66643	U05719
U02131	U33868
U02929	U72984
U34286	U08455
U32346	U25033
U35838	U44365
U22888	U69234
U13595	U10917
U05458	U28217
U97770	U03381
U94056	U60484
U91936	U01332
U00735	U14833
U09677	U84796
U19403	U21365
U04260	U04044
U57993	U66545
U57080	U06969
U53692	U75292
U20229	U17838
U17811	U63114
U02966	U35961
U01640	U56413
U00339	U34856
U14512	U40513
U53338	U33929
U01185	U60139
U40622	U04117
U35683	U73262
U11599	U01105
U23708	U01765
U36863	U53590
U64227	U11254
U33473	U16325
U22580	U10996
U20128	U86798
U65325	U05250
U50056	U18804
U62493	U03419
U03722	U53353
U57833	U05613
U29437	U12974
U71210	U53590
U65508	U07426
U01825	U71150
U42003	U25689
U13621	U08163
U00865	U01126
U41369	U97263
U20496	U02116
U32373	U64196
U12443	U21380
U36787	U26711
U05028	U13344
U02435	U69313
U43147	U19035
U03849	U05001
U01201	U45163
U54057	U06626
U63445	U51997
U08233	U46359
U14841	U18578
U00030	U02120
U33126	U55927
U09195	U07777
U94664	U88568
U53846	U08831
U01524	U03188
U04808	U43829
U99409	U01499
U03445	U02900
U40166	U00884
U27648	U41839
U03018	U66873
U18139	U14094
U02876	U93795
U76989	U03957
U07642	U75768
U34477	U67586
U37794	U08777
U14775	U27640
U49268	U53165
U02394	U01124
U70523	U67771
U13874	U17189
U38611	U03404
