U54118	U13326
U05622	U12787
U40764	U15269
U11753	U13633
U03940	U56817
U19398	U29847
U53091	U37396
U02515	U32805
U28418	U28714
U47046	U02026
U30923	U13109
U45883	U48941
U66817	U78974
U08318	U05302
U46596	U11202
U34469	U02667
U67308	U05009
U11450	U23684
U41208	U70252
U75064	U00761
U55483	U09266
U00870	U01387
U12186	U00633
U21738	U25977
U76877	U24492
U15607	U64338
U03362	U81423
U50448	U17167
U07477	U71963
U07343	U24015
U69920	U04888
U04849	U35514
U63265	U70719
U21062	U27751
U71831	U25858
U01224	U13881
U45679	U00774
U35825	U14249
U06646	U81807
U17469	U71927
U51187	U94533
U22888	U69234
U11339	U56126
U93694	U05065
U14227	U13899
U91936	U01332
U03587	U38934
U09154	U31536
U35805	U06822
U40975	U74500
U60173	U13701
U43661	U43662
U25594	U87091
U02966	U35961
U25526	U06808
U66845
U00339	U34856
U10956	U53954
U00854	U51101
U53338	U33929
U24723	U03423
U34824	U22063
U11599	U01105
U23708	U01765
U36863	U53590
U64227	U11254
U19652	U74438
U22580	U10996
U67830	U15068
U00567	U47195
U04324	U21816
U39133	U76999
U62493	U03419
U03722	U53353
U27711	U00527
U29437	U12974
U17391	U47493
U32999	U04011
U71210	U53590
U15068
U28282	U01970
U65508	U07426
U01825	U71150
U06759	U68363
U03215	U14660
U13621	U08163
U00865	U01126
U20496	U02116
U23639	U25589
U36787	U26711
U18391	U57995
U43147	U19035
U01201	U45163
U60063	U13263
U54057	U06626
U06498	U71640
U59124	U33372
U10078	U71385
U05232	U20920
U21819	U23545
U32747	U04323
U01524	U03188
U40149	U30864
U60187	U92612
U99409	U01499
U03838	U17274
U40166	U00884
U03018	U66873
U04788	U20422
U80821	U01789
U31480	U60799
U02876	U93795
U03890	U98459
U34477	U67586
U39084	U07473
U47437	U12992
U06456	U84253
U27502	U27504
U02222	U22043
U13874	U17189
U07991	U84126
U37527	U03081
U35263	U22515
U30132	U01507
U45063	U02805
U01262	U03856
U53830	U20354
U21428	U12337
U68692	U87073
U05090	U63012
U15932	U05796
U15541	U28671
U01996	U71259
U20264	U02788
U60043	U43157
U55252	U02768
U04655	U00780
U49104	U61676
U35624	U06846
U29135	U10468
U27360	U54890
U01543	U22736
U10577	U18153
U59843	U12364
U40022	U58180
U60115	U86589
U05682	U17290
U75864	U38719
U90464	U00565
U18937	U28249
U33380	U37356
U23464	U84443
U00733	U11427
U17395	U74137
U38657	U02057
