U27755	U04183
U17963	U33966
U19398	U29847
U05208	U83955
U46273	U08502
U58634	U19080
U33648	U23526
U97135	U04559
U42195	U50092
U46596	U11202
U55414	U47118
U53208	U54042
U35479	U07697
U50729	U37656
U50448	U17167
U69920	U04888
U74411	U47429
U53896	U70977
U35825	U14249
U51851	U36932
U02929	U72984
U44281	U92759
U06524	U11990
U11339	U56126
U53294	U62150
U91936	U01332
U09873	U10997
U26697	U21422
U14035	U24017
U26956	U16509
U20229	U17838
U00339	U34856
U18288	U00349
U53338	U33929
U08373	U34011
U35683	U73262
U37059	U11404
U64787	U29726
U20128	U86798
U92265	U44681
U18793	U21024
U74246	U08140
U57833	U05613
U29437	U12974
U65508	U07426
U01825	U71150
U45755	U86358
U42073	U62238
U54057	U06626
U05588	U40789
U05232	U20920
U08171	U14934
U32747	U04323
U38208	U09511
U15358	U55424
U99409	U01499
U03838	U17274
U12673	U29623
U31406	U39616
U70161	U14187
U21916	U16007
U01594	U15576
U35434	U16682
U73217	U45608
U27502	U27504
U36260	U39126
U03876	U94791
U14096	U18326
U27744	U10931
U06215	U37182
U15932	U05796
U15541	U28671
U03098	U72931
U35624	U06846
U44828	U29233
U16345	U27709
U10871	U56321
U90622	U20135
U02599	U10459
U00620	U22869
U03069	U05632
U39794	U04297
U34756	U29376
U02068	U04716
U05315	U02339
U06074	U08271
U48523	U11053
U57697	U06980
U26746	U51896
U36682	U78914
U23699	U04046
U05899	U54783
U36090
U10308
U25848	U89865
U37929	U03766
U23344	U58204
U17812	U08102
U28361	U13012
U27905	U78878
U13998	U07184
U03362	U81423
U13305	U37478
U04179	U61877
U17904	U30360
U60797	U03373
U08982	U19300
U56603	U27763
U93372	U59239
U74367	U52067
U22194	U08141
U36427	U19486
U14716	U48390
U69044	U44174
U38675	U32847
U02076	U82682
U37367	U47801
U28440	U27287
U17673	U29374
U00742	U01517
U89862	U07399
U74089	U07273
U49341	U14001
U02927	U94687
U05524	U49981
U53046	U44975
U39360	U17442
U10277	U19926
U02873	U49390
U32390
U48336	U01815
U10023	U79656
U02349	U45567
U55027	U05888
U00205	U31895
U23795	U23681
U26429	U07821
U23623	U25190
U30703	U03209
U33815	U07085
U43202	U22048
U13045	U27074
U18563	U45409
U77080	U16503
U05648
U13061	U71447
U63612	U01242
U04166	U20630
U05905	U69169
U07535	U52912
U04386	U07396
U09923	U03719
U35991	U05197
U70704	U61033
U07046	U76770
U23524	U09514
U32549	U25107
U44924	U07127
U58661	U13491
U75896	U09985
U49312	U01424
U02383	U11418
U03099	U45416
U44637	U06822
U01486	U65812
U25440	U11704
U09095	U08859
U07569	U37876
U21258	U03672
U02015	U12150
U92438	U76878
U01058	U63108
U01821	U66227
U09174	U12888
U06047	U00792
U03415	U48160
U87966	U03173
U01215	U04461
U00364	U08434
U00610	U21786
U56123	U20005
U09961	U30498
U02830	U34135
U04026	U03121
U13309	U35855
U18199	U34300
U12968	U49026
U43562	U78386
U04167	U48146
U11107	U08611
U24393	U33730
U58638	U30327
U99634	U05612
U20267	U01243
U16584	U21188
U06508	U83428
U18862	U60941
U18097	U50513
U00171	U15312
U97700	U02049
U02910	U17570
U75234	U57564
U13138	U28299
U28407	U47113
U01663	U24044
U16112	U85980
U29122	U33583
U44299	U01135
U13297	U65937
U01640	U56413
U04225	U97157
U59969	U85129
U16373	U13462
U01836	U38934
U83745	U06529
U10573	U51804
U04436	U58047
U19663	U13944
U56537
U28968	U00031
U60446	U57190
U20315	U12631
U01467	U86833
U00612	U69795
U43945	U07487
U31427	U01244
U67908	U09790
U89422	U02274
U03806	U46314
U07369	U45066
U29664	U06791
U07111	U36644
U02820	U03403
U21885	U45993
U02016	U91399
U06922	U67957
U02627	U13997
U69320	U30679
U11377	U13426
U73355	U20637
U08438	U08213
U04724	U33582
U43848	U40672
U84248	U23198
U04681	U60522
U47570	U48899
U05307	U15114
U03392	U88187
U93261	U07068
U11155	U11585
U25280	U19787
U73385	U00783
U23547	U45067
U25193	U05386
U45847	U16682
U66586	U32125
U74536	U15312
U33379	U05085
U51257	U28169
U38615	U05988
U21220	U75346
U87971	U57069
U47628	U24925
U02231	U17154
U11477	U39798
U50955	U19299
U22435	U41717
U19639	U00788
U19328	U02104
U42387	U61777
U25489	U45509
U54921	U84186
U03254	U62735
U52319	U01298
U00220	U12331
U27482	U08652
U17000	U02265
U46782	U27117
U04884	U20081
U06737	U32283
U38110	U20835
U16122	U48297
U07050	U61020
U16723	U03047
U74252	U47461
U75229	U02581
U21330	U22033
U38959	U00134
U73055	U87146
U28591	U94837
U20749	U42257
U02820	U50686
U20071	U02923
U11940	U00349
U00870	U00740
U73328	U01960
U05057	U45552
U02644	U10789
U38829	U03851
U46977	U89888
U33844	U11265
U16929	U69011
U60249	U07578
U33982	U00533
U18315	U41580
U22511	U15743
U77918	U02286
U60824	U03550
U18081	U03537
U03876	U28248
U10644	U11138
U22049	U37499
U28876	U38035
U87073	U62323
U00115	U20552
U36787	U26711
U83085	U02427
U80244	U01878
